type: sc1
name: JungleSiege
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
721	730	722	736	0,00000	6,41421	6,41421	44	0
705	448	701	444	0,00000	5,65685	5,65685	30	0
76	581	81	581	0,00000	5,00000	5,00000	37	0
686	412	682	413	0,00000	4,41421	4,41421	30	0
568	528	565	534	0,00000	7,24264	7,24264	52	0
638	507	637	501	0,00000	6,41421	6,41421	41	0
8	260	6	264	-0,00000	4,82843	4,82843	33	0
111	466	112	470	0,00000	4,41421	4,41421	30	0
685	754	684	747	0,00000	7,41421	7,41421	51	0
501	38	504	43	0,00000	6,24264	6,24264	43	0
404	707	393	707	0,00000	11,00000	11,00000	79	0
601	404	607	412	-0,00002	10,48530	10,48528	82	0
444	754	446	743	0,00003	11,82840	11,82843	96	0
165	693	174	690	0,00004	10,24260	10,24264	89	0
601	205	593	202	0,00000	9,24264	9,24264	73	1
275	744	269	750	0,00000	8,48528	8,48528	44	0
218	645	228	643	0,00003	10,82840	10,82843	93	0
158	362	165	366	0,00000	8,65685	8,65685	70	0
557	531	549	528	0,00000	9,24264	9,24264	73	0
498	20	491	14	0,00000	9,48528	9,48528	66	0
672	194	660	196	0,00003	12,82840	12,82843	93	0
434	26	421	30	-0,00005	14,65690	14,65685	144	0
132	295	142	304	0,00002	13,72790	13,72792	96	0
487	707	497	712	-0,00003	12,07110	12,07107	101	0
104	296	92	299	0,00004	13,24260	13,24264	117	0
95	559	107	568	0,00002	15,72790	15,72792	134	0
679	217	666	210	-0,00001	15,89950	15,89949	157	0
157	297	143	294	0,00004	15,24260	15,24264	143	0
684	393	680	404	-0,00005	12,65690	12,65685	117	0
46	382	42	396	-0,00005	15,65690	15,65685	159	0
594	154	579	151	0,00004	16,24260	16,24264	159	0
306	575	322	571	-0,00005	17,65690	17,65685	178	0
134	36	122	47	0,00005	16,55630	16,55635	111	0
554	90	549	73	-0,00003	19,07110	19,07107	183	0
109	552	113	569	-0,00005	18,65690	18,65685	190	0
688	339	678	351	0,00004	16,14210	16,14214	130	0
163	387	161	369	0,00003	18,82840	18,82843	154	0
679	562	683	546	-0,00005	17,65690	17,65685	178	0
26	328	42	330	0,00003	16,82840	16,82843	150	0
524	285	537	273	-0,00004	17,97060	17,97056	125	0
223	101	218	120	-0,00003	21,07110	21,07107	218	0
294	612	294	632	0,00000	20,00000	20,00000	142	0
77	525	73	504	-0,00005	22,65690	22,65685	241	0
327	747	307	751	-0,00005	21,65690	21,65685	229	0
673	447	658	433	-0,00001	20,79900	20,79899	146	1
183	248	192	229	0,00002	22,72790	22,72792	255	0
595	594	612	581	-0,00002	22,38480	22,38478	217	0
602	297	623	294	0,00004	22,24260	22,24264	222	0
398	727	378	724	0,00004	21,24260	21,24264	209	0
482	130	478	152	-0,00005	23,65690	23,65685	253	0
394	177	415	162	0,00000	27,21320	27,21320	299	0
718	427	694	429	0,00003	24,82840	24,82843	230	0
