type: sc1
name: Labyrinth
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
719	411	718	404	0,00000	7,41421	7,41421	48	0
220	125	215	126	0,00000	5,41421	5,41421	37	0
24	399	20	404	0,00000	6,65685	6,65685	43	0
218	421	225	421	0,00000	7,00000	7,00000	51	0
555	212	555	208	0,00000	4,00000	4,00000	30	0
204	77	200	74	0,00000	5,24264	5,24264	36	0
107	722	104	717	0,00000	6,24264	6,24264	43	0
751	814	746	813	0,00000	5,41421	5,41421	37	0
538	619	540	615	-0,00000	4,82843	4,82843	33	0
556	212	562	215	0,00000	7,24264	7,24264	52	0
640	268	650	272	-0,00005	11,65690	11,65685	102	0
741	497	733	501	0,00000	9,65685	9,65685	76	0
528	521	520	527	-0,00002	10,48530	10,48528	82	0
67	793	60	786	0,00000	9,89949	9,89949	51	0
13	904	6	898	0,00000	9,48528	9,48528	66	0
652	746	642	750	-0,00005	11,65690	11,65685	103	0
260	268	258	259	-0,00000	9,82843	9,82843	73	0
2	544	7	550	-0,00000	8,07107	8,07107	44	0
760	921	753	913	-0,00001	10,89950	10,89949	76	0
326	869	317	865	-0,00005	10,65690	10,65685	86	0
454	833	459	823	-0,00003	12,07110	12,07107	101	0
212	879	198	876	0,00004	15,24260	15,24264	143	0
15	681	22	669	-0,00001	14,89950	14,89949	134	1
328	847	317	850	0,00004	12,24260	12,24264	109	0
732	970	743	966	-0,00005	12,65690	12,65685	118	0
488	903	491	889	0,00004	15,24260	15,24264	143	0
406	478	400	465	-0,00002	15,48530	15,48528	148	0
207	1007	217	1012	-0,00003	12,07110	12,07107	101	0
506	848	514	839	-0,00003	14,07110	14,07107	96	0
746	303	755	311	0,00001	12,31370	12,31371	86	0
79	657	63	660	0,00004	17,24260	17,24264	169	0
167	975	179	963	-0,00004	16,97060	16,97056	86	0
729	559	728	542	0,00001	17,41420	17,41421	121	0
16	757	22	772	-0,00002	17,48530	17,48528	185	0
672	704	683	689	0,00005	19,55630	19,55635	159	0
21	142	9	154	-0,00004	16,97060	16,97056	86	0
49	352	31	349	0,00004	19,24260	19,24264	186	0
641	265	627	274	0,00002	17,72790	17,72792	173	0
284	479	295	491	0,00005	16,55630	16,55635	115	0
361	628	342	626	0,00003	19,82840	19,82843	166	0
698	95	680	89	-0,00002	20,48530	20,48528	219	0
241	840	235	861	-0,00002	23,48530	23,48528	262	0
389	425	401	443	-0,00004	22,97060	22,97056	238	0
752	519	735	533	-0,00001	22,79900	22,79899	204	0
135	456	129	437	-0,00002	21,48530	21,48528	232	0
132	72	119	54	-0,00002	23,38480	23,38478	231	0
757	964	758	943	0,00001	21,41420	21,41421	149	0
48	873	48	895	0,00000	22,00000	22,00000	156	0
309	472	292	488	0,00002	23,62740	23,62742	166	0
259	836	242	848	-0,00004	21,97060	21,97056	221	1
719	520	716	543	0,00004	24,24260	24,24264	244	0
4	777	25	785	0,00001	24,31370	24,31371	283	0
585	750	596	730	0,00005	24,55630	24,55635	294	0
736	836	717	816	-0,00004	27,87010	27,87006	196	0
448	273	452	296	-0,00005	24,65690	24,65685	244	0
570	994	564	971	-0,00002	25,48530	25,48528	307	0
575	751	580	728	-0,00003	25,07110	25,07107	280	1
16	882	38	874	0,00001	25,31370	25,31371	299	0
431	574	434	551	0,00004	24,24260	24,24264	242	0
176	130	202	132	0,00003	26,82840	26,82843	251	0
443	498	474	500	0,00003	31,82840	31,82843	271	0
239	246	215	230	0,00002	30,62740	30,62742	375	0
690	971	677	945	-0,00002	31,38480	31,38478	423	1
396	356	418	378	-0,00000	31,11270	31,11270	156	0
142	551	121	531	-0,00003	29,28430	29,28427	202	0
664	695	642	679	0,00002	28,62740	28,62742	318	0
87	621	108	640	-0,00004	28,87010	28,87006	242	0
516	698	514	728	0,00003	30,82840	30,82843	262	0
53	58	27	44	-0,00001	31,79900	31,79899	425	0
477	742	496	718	-0,00004	31,87010	31,87006	337	1
135	785	138	752	0,00004	34,24260	34,24264	359	0
446	312	473	329	0,00003	34,04160	34,04163	430	0
707	880	721	907	-0,00001	32,79900	32,79899	412	0
739	271	712	256	0,00000	33,21320	33,21320	455	1
680	227	707	209	0,00004	34,45580	34,45584	433	0
120	427	116	393	-0,00005	35,65690	35,65685	382	0
241	648	212	656	0,00001	32,31370	32,31371	412	0
254	651	226	669	0,00004	35,45580	35,45584	461	1
481	941	457	961	-0,00003	32,28430	32,28427	303	0
334	890	359	873	0,00003	32,04160	32,04163	387	0
616	904	579	899	-0,00003	39,07110	39,07107	447	0
172	187	208	186	0,00001	36,41420	36,41421	254	0
283	762	279	725	-0,00005	38,65690	38,65685	415	1
164	691	126	692	0,00001	38,41420	38,41421	268	0
418	366	455	372	-0,00002	39,48530	39,48528	464	0
289	349	280	385	0,00002	39,72790	39,72792	471	0
310	134	341	155	-0,00002	39,69850	39,69848	525	1
59	667	92	657	0,00004	37,14210	37,14214	530	0
548	347	518	364	0,00003	37,04160	37,04163	309	0
65	861	32	870	0,00002	36,72790	36,72792	500	1
231	991	200	1017	-0,00005	41,76960	41,76955	429	0
221	786	237	751	0,00002	41,62740	41,62742	635	0
303	981	286	1014	0,00003	40,04160	40,04163	591	1
220	874	254	895	-0,00002	42,69850	42,69848	616	0
52	1005	83	979	-0,00005	41,76960	41,76955	428	0
484	654	500	620	0,00002	40,62740	40,62742	496	1
287	991	245	993	0,00003	42,82840	42,82843	379	0
605	691	595	728	0,00004	41,14210	41,14214	550	0
671	956	672	915	0,00001	41,41420	41,41421	289	0
172	749	141	771	-0,00000	40,11270	40,11270	426	1
603	746	643	736	0,00004	44,14210	44,14214	654	0
93	46	102	88	0,00002	45,72790	45,72792	667	1
99	957	94	1002	-0,00003	47,07110	47,07107	558	0
517	855	533	895	0,00002	46,62740	46,62742	766	1
709	542	671	563	-0,00002	46,69850	46,69848	739	0
607	401	623	363	0,00000	45,21320	45,21320	411	1
215	268	204	225	0,00005	47,55630	47,55635	649	0
83	325	74	284	0,00002	44,72790	44,72792	649	1
83	695	119	672	0,00001	45,52690	45,52691	671	0
254	987	219	1011	0,00003	44,94110	44,94113	620	1
516	138	483	174	0,00005	49,66900	49,66905	435	0
64	968	16	966	0,00003	48,82840	48,82843	440	0
47	675	91	657	0,00004	51,45580	51,45584	905	1
705	955	715	911	0,00004	48,14210	48,14214	736	0
170	558	124	550	0,00001	49,31370	49,31371	700	1
280	902	233	907	-0,00003	49,07110	49,07107	590	0
51	855	54	904	0,00004	50,24260	50,24264	512	0
500	620	489	664	0,00005	48,55630	48,55635	767	1
92	46	98	95	-0,00002	51,48530	51,48528	680	0
699	255	705	208	-0,00002	49,48530	49,48528	652	0
139	629	132	682	-0,00001	55,89950	55,89949	787	1
357	681	350	734	-0,00001	55,89950	55,89949	774	0
132	669	83	656	-0,00002	54,38480	54,38478	935	1
274	743	225	728	0,00000	55,21320	55,21320	992	1
755	248	743	200	-0,00004	52,97060	52,97056	886	1
148	1003	196	1018	0,00000	54,21320	54,21320	961	1
368	836	326	861	0,00004	52,35530	52,35534	865	0
291	56	335	32	0,00003	53,94110	53,94113	915	1
98	702	129	744	0,00002	54,84060	54,84062	790	1
530	519	575	500	-0,00004	52,87010	52,87006	840	1
720	34	676	3	0,00002	56,84060	56,84062	886	0
47	342	17	386	0,00001	56,42640	56,42641	902	1
242	872	269	918	-0,00003	57,18380	57,18377	1010	1
209	417	224	468	0,00000	57,21320	57,21320	1045	1
659	416	647	363	-0,00004	57,97060	57,97056	891	1
215	470	217	413	0,00003	57,82840	57,82843	505	0
13	308	22	361	0,00002	56,72790	56,72792	881	1
241	769	256	719	0,00000	56,21320	56,21320	1019	1
478	973	433	993	0,00004	56,35530	56,35534	737	0
626	450	658	496	0,00003	59,25480	59,25483	954	1
295	748	233	748	0,00000	62,00000	62,00000	436	0
319	929	343	982	0,00003	62,94110	62,94113	1038	1
43	858	96	881	0,00001	62,52690	62,52691	1231	2
12	286	63	311	0,00004	61,35530	61,35534	1203	1
228	638	250	689	-0,00000	60,11270	60,11270	1178	1
471	899	479	950	-0,00000	60,11270	60,11270	826	1
540	857	486	880	0,00001	63,52690	63,52691	1033	1
510	99	510	39	0,00000	60,00000	60,00000	422	0
598	904	552	868	-0,00001	60,91170	60,91169	828	0
21	265	76	246	-0,00004	62,87010	62,87006	1259	4
681	1007	713	954	0,00003	66,25480	66,25483	1277	2
440	139	498	158	-0,00004	65,87010	65,87006	1296	1
514	208	551	157	0,00000	66,32590	66,32590	1004	1
678	907	657	966	-0,00002	67,69850	67,69848	1430	2
642	340	633	403	0,00002	66,72790	66,72792	1069	1
377	426	405	479	-0,00002	64,59800	64,59798	836	1
649	0	607	47	-0,00003	64,39700	64,39697	676	0
694	70	658	20	-0,00001	64,91170	64,91169	1075	2
130	993	111	936	-0,00004	64,87010	64,87006	1317	1
616	710	564	744	-0,00004	66,08330	66,08326	1218	2
36	1000	97	981	-0,00004	68,87010	68,87006	1440	1
76	306	8	303	0,00004	69,24260	69,24264	716	0
231	430	179	475	0,00001	70,63960	70,63961	881	1
322	131	262	155	0,00003	69,94110	69,94113	1437	1
476	315	419	292	-0,00003	68,18380	68,18377	1179	1
54	989	111	962	-0,00003	68,18380	68,18377	1445	2
327	685	331	725	-0,00002	71,69850	71,69848	1132	1
663	973	720	1008	-0,00003	71,49750	71,49747	1440	1
637	265	684	213	0,00004	71,46800	71,46804	768	1
765	976	709	1006	0,00001	68,42640	68,42641	1405	1
555	724	529	676	0,00004	74,14210	74,14214	879	1
154	980	90	1004	0,00003	73,94110	73,94113	1672	1
124	289	51	296	-0,00001	75,89950	75,89949	1133	1
80	289	147	272	0,00003	74,04160	74,04163	1575	2
161	853	90	848	-0,00003	73,07110	73,07107	835	0
209	864	134	864	0,00000	75,00000	75,00000	527	0
635	756	705	745	0,00005	74,55630	74,55635	1337	1
656	76	724	62	-0,00001	73,79900	73,79899	1442	1
130	105	188	146	-0,00004	74,98280	74,98276	1396	1
662	67	623	10	0,00003	73,15430	73,15433	1385	1
5	634	78	644	0,00004	77,14210	77,14214	1345	1
584	4	614	68	0,00001	76,42640	76,42641	1771	2
198	199	170	134	-0,00002	76,59800	76,59798	1561	2
671	69	642	133	-0,00001	76,01220	76,01219	928	0
726	1009	659	982	-0,00003	78,18380	78,18377	1854	2
742	512	703	575	0,00003	79,15430	79,15433	1708	2
286	149	222	183	-0,00004	78,08330	78,08326	1270	1
512	1	439	16	0,00000	79,21320	79,21320	1308	2
287	994	212	997	0,00004	76,24260	76,24264	819	0
178	541	229	486	-0,00001	76,12490	76,12489	760	1
151	488	213	535	-0,00001	83,12490	83,12489	646	0
591	39	658	74	-0,00003	81,49750	81,49747	1866	2
458	892	540	893	0,00001	82,41420	82,41421	576	0
616	744	626	667	0,00004	81,14210	81,14214	1436	1
378	678	442	722	-0,00000	82,22540	82,22540	1390	2
98	1017	140	951	-0,00003	83,39700	83,39697	1814	2
427	733	372	686	0,00005	82,66900	82,66905	1299	1
522	866	469	924	0,00001	80,53910	80,53911	866	0
332	758	254	747	0,00005	82,55630	82,55635	1490	1
236	708	301	748	0,00004	81,56850	81,56854	1545	2
4	967	76	1001	-0,00004	86,08330	86,08326	2179	2
241	711	260	789	-0,00004	85,87010	85,87006	1981	2
694	414	640	476	0,00002	84,95330	84,95332	1163	1
280	352	328	417	0,00005	84,88220	84,88225	1319	1
416	942	451	872	-0,00003	84,49750	84,49747	1864	2
371	737	289	728	0,00002	85,72790	85,72792	1448	2
234	819	291	759	-0,00001	87,12490	87,12489	1325	1
261	796	231	721	0,00001	87,42640	87,42641	2172	2
309	126	335	203	-0,00005	87,76960	87,76955	1393	1
524	120	449	150	0,00001	87,42640	87,42641	1605	1
201	71	121	47	0,00003	89,94110	89,94113	2278	2
541	650	493	720	0,00005	89,88220	89,88225	1962	2
123	432	179	497	-0,00004	88,19600	88,19596	1276	1
661	380	717	420	-0,00005	90,76960	90,76955	1409	1
101	193	13	187	-0,00002	90,48530	90,48528	1260	0
199	136	111	137	0,00001	88,41420	88,41421	618	0
273	923	316	858	-0,00000	88,22540	88,22540	1762	1
153	90	240	87	-0,00005	89,65690	89,65685	972	1
412	148	499	156	0,00001	90,31370	90,31371	1495	1
448	560	395	628	0,00002	89,95330	89,95332	1639	2
691	964	670	878	-0,00002	94,69850	94,69848	2381	3
211	731	207	643	-0,00004	92,97060	92,97056	1329	1
763	338	719	264	-0,00000	92,22540	92,22540	2235	3
734	307	663	253	0,00003	93,36750	93,36753	1834	2
570	435	635	469	-0,00005	93,76960	93,76955	1710	1
277	731	183	730	0,00001	94,41420	94,41421	660	0
640	819	723	796	0,00001	92,52690	92,52691	2309	3
105	328	34	277	-0,00001	92,12490	92,12489	1945	2
183	882	235	810	0,00001	93,53910	93,53911	1759	2
333	568	423	559	0,00002	93,72790	93,72792	1622	1
404	289	456	340	0,00005	96,55630	96,55635	1552	2
514	518	597	545	-0,00003	97,49750	97,49747	1727	1
160	102	219	174	0,00000	96,43860	96,43860	940	1
692	997	735	916	-0,00002	98,81120	98,81118	2706	3
102	796	15	772	0,00003	96,94110	96,94113	2437	3
675	94	718	14	-0,00002	97,81120	97,81118	2647	3
99	1011	188	987	0,00003	98,94110	98,94113	2617	3
645	823	740	827	-0,00005	96,65690	96,65685	923	0
712	920	653	992	0,00000	96,43860	96,43860	1657	2
108	977	11	970	-0,00001	99,89950	99,89949	1546	1
258	803	241	899	-0,00037	103,04200	103,04163	2114	3
71	71	147	9	0,00024	101,68100	101,68124	1861	2
661	277	727	204	0,00010	100,33800	100,33810	1307	1
30	719	110	740	-0,00046	103,56900	103,56854	1350	1
595	41	680	1	-0,00046	101,56900	101,56854	2922	3
20	623	92	693	-0,00005	100,99500	100,99495	784	0
237	478	223	563	0,00040	103,22500	103,22540	2147	2
669	734	630	820	0,00033	102,15400	102,15433	2539	3
197	720	96	715	0,00007	103,07100	103,07107	1118	1
183	959	256	980	-0,00001	101,79900	101,79899	885	0
657	689	677	761	0,00045	105,09500	105,09545	2555	3
540	744	643	748	-0,00015	104,65700	104,65685	1265	0
551	507	628	453	-0,00003	106,39700	106,39697	2426	3
744	305	660	251	-0,00047	106,36800	106,36753	2785	3
756	332	705	247	-0,00011	106,12500	106,12489	2912	3
647	967	728	910	0,00017	104,61000	104,61017	2445	3
663	977	760	953	0,00013	106,94100	106,94113	2950	3
170	20	76	50	0,00041	106,42600	106,42641	3124	4
46	302	131	253	0,00046	105,29600	105,29646	2932	3
751	566	647	562	-0,00015	105,65700	105,65685	1307	1
550	210	599	129	-0,00010	108,32600	108,32590	2169	3
632	670	723	628	-0,00003	108,39700	108,39697	3292	4
