type: sc1
name: Labyrinth
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
719	411	718	404	0,00000	7,41421	7,41421	6	1
220	125	215	126	0,00000	5,41421	5,41421	5	0
24	399	20	404	0,00000	6,65685	6,65685	8	0
218	421	225	421	0,00000	7,00000	7,00000	6	0
555	212	555	208	0,00000	4,00000	4,00000	6	0
204	77	200	74	0,00000	5,24264	5,24264	7	1
107	722	104	717	0,00000	6,24264	6,24264	6	0
751	814	746	813	0,00000	5,41421	5,41421	6	0
538	619	540	615	-0,00000	4,82843	4,82843	7	0
556	212	562	215	0,00000	7,24264	7,24264	7	1
640	268	650	272	-0,00005	11,65690	11,65685	7	0
741	497	733	501	0,00000	9,65685	9,65685	6	1
528	521	520	527	-0,00002	10,48530	10,48528	6	0
67	793	60	786	0,00000	9,89949	9,89949	5	0
13	904	6	898	0,00000	9,48528	9,48528	6	0
652	746	642	750	-0,00005	11,65690	11,65685	8	1
260	268	258	259	-0,00000	9,82843	9,82843	8	0
2	544	7	550	-0,00000	8,07107	8,07107	5	0
760	921	753	913	-0,00001	10,89950	10,89949	9	1
326	869	317	865	-0,00005	10,65690	10,65685	11	0
454	833	459	823	-0,00003	12,07110	12,07107	10	1
212	879	198	876	0,00004	15,24260	15,24264	9	0
15	681	22	669	-0,00001	14,89950	14,89949	6	1
328	847	317	850	0,00004	12,24260	12,24264	8	0
732	970	743	966	-0,00005	12,65690	12,65685	6	0
488	903	491	889	0,00004	15,24260	15,24264	7	1
406	478	400	465	-0,00002	15,48530	15,48528	9	0
207	1007	217	1012	-0,00003	12,07110	12,07107	6	1
506	848	514	839	-0,00003	14,07110	14,07107	12	0
746	303	755	311	0,00001	12,31370	12,31371	5	2
79	657	63	660	0,00004	17,24260	17,24264	7	1
167	975	179	963	-0,00004	16,97060	16,97056	11	1
729	559	728	542	0,00001	17,41420	17,41421	6	0
16	757	22	772	-0,00002	17,48530	17,48528	6	1
672	704	683	689	0,00005	19,55630	19,55635	11	0
21	142	9	154	-0,00004	16,97060	16,97056	5	0
49	352	31	349	0,00004	19,24260	19,24264	6	1
641	265	627	274	0,00002	17,72790	17,72792	11	0
284	479	295	491	0,00005	16,55630	16,55635	7	1
361	628	342	626	0,00003	19,82840	19,82843	7	0
698	95	680	89	-0,00002	20,48530	20,48528	9	0
241	840	235	861	-0,00002	23,48530	23,48528	7	0
389	425	401	443	-0,00004	22,97060	22,97056	11	0
752	519	735	533	-0,00001	22,79900	22,79899	5	1
135	456	129	437	-0,00002	21,48530	21,48528	10	0
132	72	119	54	-0,00002	23,38480	23,38478	6	1
757	964	758	943	0,00001	21,41420	21,41421	5	1
48	873	48	895	0,00000	22,00000	22,00000	6	1
309	472	292	488	0,00002	23,62740	23,62742	17	0
259	836	242	848	-0,00004	21,97060	21,97056	8	0
719	520	716	543	0,00004	24,24260	24,24264	6	1
4	777	25	785	0,00001	24,31370	24,31371	7	0
585	750	596	730	0,00005	24,55630	24,55635	12	1
736	836	717	816	-0,00004	27,87010	27,87006	18	0
448	273	452	296	-0,00005	24,65690	24,65685	7	0
570	994	564	971	-0,00002	25,48530	25,48528	7	0
575	751	580	728	-0,00003	25,07110	25,07107	12	0
16	882	38	874	0,00001	25,31370	25,31371	7	1
431	574	434	551	0,00004	24,24260	24,24264	10	0
176	130	202	132	0,00003	26,82840	26,82843	7	0
443	498	474	500	0,00003	31,82840	31,82843	8	0
239	246	215	230	0,00002	30,62740	30,62742	15	0
690	971	677	945	-0,00002	31,38480	31,38478	6	1
396	356	418	378	-0,00000	31,11270	31,11270	7	0
142	551	121	531	-0,00003	29,28430	29,28427	9	0
664	695	642	679	0,00002	28,62740	28,62742	8	1
87	621	108	640	-0,00004	28,87010	28,87006	6	1
516	698	514	728	0,00003	30,82840	30,82843	7	1
53	58	27	44	-0,00001	31,79900	31,79899	9	0
477	742	496	718	-0,00004	31,87010	31,87006	22	1
135	785	138	752	0,00004	34,24260	34,24264	7	0
446	312	473	329	0,00003	34,04160	34,04163	13	0
707	880	721	907	-0,00001	32,79900	32,79899	9	2
739	271	712	256	0,00000	33,21320	33,21320	8	2
