type: sc1
name: Medusa
algorithm: jpsplus
preprossessing [ms]: 4409

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
143	545	142	539	0,00000	6,41421	6,41421	8	0
534	681	535	686	0,00000	5,41421	5,41421	7	1
400	483	405	478	-0,00000	7,07107	7,07107	5	0
163	96	164	103	0,00000	7,41421	7,41421	7	0
526	142	531	145	0,00000	6,24264	6,24264	6	0
280	534	277	531	-0,00000	4,82843	4,82843	8	0
166	501	173	502	0,00000	7,41421	7,41421	6	0
480	728	476	722	0,00000	7,65685	7,65685	11	0
230	730	233	735	0,00000	6,24264	6,24264	9	0
381	190	385	189	0,00000	4,41421	4,41421	7	0
604	717	610	726	-0,00002	11,48530	11,48528	8	0
180	326	186	320	0,00000	8,48528	8,48528	7	0
159	659	149	662	0,00004	11,24260	11,24264	7	0
699	677	707	677	0,00000	8,00000	8,00000	5	0
643	632	653	633	0,00001	10,41420	10,41421	7	0
367	210	370	200	0,00004	11,24260	11,24264	12	0
553	228	564	227	0,00001	11,41420	11,41421	8	0
367	197	365	205	0,00000	9,41421	9,41421	13	0
568	18	562	13	-0,00000	8,07107	8,07107	6	0
458	455	463	446	-0,00003	11,07110	11,07107	9	0
197	48	182	47	0,00001	15,41420	15,41421	7	0
130	449	121	439	0,00002	13,72790	13,72792	14	0
126	263	127	277	0,00001	14,41420	14,41421	7	0
250	119	254	105	-0,00005	15,65690	15,65685	7	0
266	579	264	566	0,00003	13,82840	13,82843	10	0
154	54	157	65	0,00004	12,24260	12,24264	10	0
168	5	166	17	0,00003	12,82840	12,82843	9	0
615	562	627	557	-0,00003	14,07110	14,07107	9	0
569	679	583	682	0,00004	15,24260	15,24264	7	0
575	699	586	710	0,00005	15,55630	15,55635	5	0
308	735	323	726	0,00002	18,72790	18,72792	13	0
373	616	387	604	-0,00004	18,97060	18,97056	13	0
204	124	199	138	-0,00003	16,07110	16,07107	7	0
410	255	424	249	-0,00002	16,48530	16,48528	10	0
54	353	70	356	0,00004	17,24260	17,24264	6	0
110	204	123	213	0,00002	16,72790	16,72792	7	0
321	2	305	3	0,00001	16,41420	16,41421	5	1
77	200	94	193	-0,00001	19,89950	19,89949	11	0
659	483	675	485	0,00003	16,82840	16,82843	8	0
191	50	187	67	-0,00005	18,65690	18,65685	10	0
229	734	235	715	-0,00002	21,48530	21,48528	9	0
654	432	641	414	-0,00002	23,38480	23,38478	9	0
81	402	62	409	-0,00001	21,89950	21,89949	7	0
645	600	624	603	0,00004	22,24260	22,24264	11	0
498	188	485	171	-0,00004	22,97060	22,97056	13	0
384	613	363	617	-0,00005	22,65690	22,65685	12	0
593	191	616	192	0,00001	23,41420	23,41421	8	0
318	360	309	340	0,00002	23,72790	23,72792	23	0
618	692	617	712	0,00001	20,41420	20,41421	6	0
597	544	598	522	0,00001	22,41420	22,41421	8	0
615	676	599	695	0,00002	25,62740	25,62742	9	0
425	270	400	274	-0,00005	26,65690	26,65685	15	0
611	377	587	385	0,00001	27,31370	27,31371	15	0
251	725	245	748	-0,00002	25,48530	25,48528	15	0
241	714	265	710	-0,00005	25,65690	25,65685	7	0
311	423	327	440	0,00005	26,55630	26,55635	21	0
539	725	564	725	0,00000	25,00000	25,00000	6	0
25	76	51	74	0,00003	26,82840	26,82843	8	0
534	616	508	616	0,00000	26,00000	26,00000	6	0
267	151	277	172	0,00004	25,14210	25,14214	14	0
662	630	652	603	0,00004	31,14210	31,14214	25	0
443	627	421	608	-0,00004	29,87010	29,87006	16	0
432	480	444	453	-0,00004	31,97060	31,97056	13	0
702	327	726	311	0,00002	30,62740	30,62742	14	0
577	47	585	75	0,00001	31,31370	31,31371	7	0
725	77	719	103	-0,00002	28,48530	28,48528	13	0
620	751	645	739	-0,00004	29,97060	29,97056	9	1
229	26	206	9	0,00003	30,04160	30,04163	11	0
271	119	255	96	0,00002	29,62740	29,62742	14	0
135	363	161	356	-0,00001	28,89950	28,89949	11	0
560	490	587	476	0,00005	34,55630	34,55635	20	0
519	28	492	45	0,00003	34,04160	34,04163	11	0
149	424	119	413	0,00005	34,55630	34,55635	18	0
209	486	244	484	0,00003	35,82840	35,82843	8	0
538	506	505	510	-0,00005	34,65690	34,65685	9	0
437	272	410	258	-0,00001	32,79900	32,79899	25	0
442	430	459	455	0,00003	32,04160	32,04163	15	0
566	710	590	686	0,00003	33,94110	33,94113	6	0
49	668	76	655	-0,00002	32,38480	32,38478	15	0
707	716	732	697	-0,00004	32,87010	32,87006	16	0
736	360	705	341	-0,00004	38,87010	38,87006	14	0
499	30	530	50	-0,00003	39,28430	39,28427	8	0
554	258	536	284	-0,00002	38,38480	38,38478	26	0
107	232	70	226	-0,00002	39,48530	39,48528	19	0
177	712	185	677	0,00001	38,31370	38,31371	11	0
417	260	430	292	-0,00002	37,38480	37,38478	11	0
577	641	542	647	-0,00002	37,48530	37,48528	13	0
43	402	12	384	0,00004	38,45580	38,45584	9	0
156	546	172	514	0,00002	38,62740	38,62742	7	0
502	114	539	118	-0,00005	38,65690	38,65685	12	0
247	217	212	235	0,00003	43,04160	43,04163	20	0
178	146	217	153	-0,00001	41,89950	41,89949	15	0
598	450	630	469	-0,00002	43,38480	43,38478	15	0
417	247	432	221	0,00003	41,04160	41,04163	29	1
142	357	174	377	-0,00003	40,28430	40,28427	21	0
540	0	515	32	0,00004	42,35530	42,35534	8	0
71	422	69	379	0,00003	43,82840	43,82843	8	0
654	319	697	319	0,00000	43,00000	43,00000	5	0
617	51	647	81	0,00001	42,42640	42,42641	5	0
610	90	574	71	-0,00004	43,87010	43,87006	24	0
375	162	331	154	0,00001	47,31370	47,31371	14	0
60	359	105	365	-0,00002	47,48530	47,48528	6	0
717	731	735	691	0,00004	47,45580	47,45584	25	0
675	703	633	689	-0,00001	47,79900	47,79899	18	0
57	417	63	375	-0,00002	44,48530	44,48528	9	0
79	418	82	374	0,00004	45,24260	45,24264	8	0
172	532	192	496	-0,00003	44,28430	44,28427	9	0
455	662	414	674	-0,00004	45,97060	45,97056	19	0
378	160	340	141	-0,00004	45,87010	45,87006	18	0
452	474	456	428	-0,00005	47,65690	47,65685	16	0
679	13	635	9	0,00002	50,62740	50,62742	17	0
655	234	616	205	-0,00001	51,01220	51,01219	25	0
562	79	598	48	0,00002	48,84060	48,84062	8	0
501	627	542	644	0,00003	48,04160	48,04163	20	0
267	87	224	70	0,00003	50,04160	50,04163	22	0
613	713	648	745	0,00003	48,25480	48,25483	11	0
299	664	301	616	-0,00005	49,65690	49,65685	14	0
535	34	574	57	0,00001	48,52690	48,52691	7	0
514	637	464	637	0,00000	50,00000	50,00000	6	0
180	217	131	210	-0,00001	51,89950	51,89949	20	0
