type: sc1
name: NovaStation
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
42	173	36	176	0,00000	7,24264	7,24264	5	0
395	16	396	12	0,00000	4,41421	4,41421	6	0
406	72	409	67	0,00000	6,24264	6,24264	10	1
21	201	22	208	0,00000	7,41421	7,41421	6	0
239	67	235	64	0,00000	5,24264	5,24264	8	0
371	374	367	368	0,00000	7,65685	7,65685	6	0
437	68	441	73	0,00000	6,65685	6,65685	9	0
411	403	413	397	-0,00000	6,82843	6,82843	8	0
371	482	372	477	0,00000	5,41421	5,41421	7	1
399	468	400	461	0,00000	7,41421	7,41421	7	0
46	171	49	164	0,00000	8,24264	8,24264	5	0
172	57	172	49	0,00000	8,00000	8,00000	6	0
81	410	73	410	0,00000	8,00000	8,00000	4	0
43	40	54	42	0,00003	11,82840	11,82843	8	1
235	79	232	69	0,00004	11,24260	11,24264	7	0
76	79	74	69	0,00003	10,82840	10,82843	10	0
163	436	162	427	0,00000	9,41421	9,41421	5	0
428	17	428	28	0,00000	11,00000	11,00000	5	0
388	497	384	489	0,00000	9,65685	9,65685	13	0
467	84	458	79	-0,00003	11,07110	11,07107	6	0
64	423	63	434	0,00001	15,31370	15,31371	16	1
36	454	27	465	0,00002	14,72790	14,72792	7	0
122	22	118	35	-0,00005	14,65690	14,65685	7	0
391	120	400	129	0,00002	12,72790	12,72792	8	0
28	469	16	471	0,00003	12,82840	12,82843	7	0
501	68	509	57	0,00001	14,31370	14,31371	8	1
419	6	430	16	0,00004	15,14210	15,14214	6	0
96	489	93	478	0,00004	12,24260	12,24264	14	0
447	443	436	451	0,00001	14,31370	14,31371	8	1
434	493	424	500	-0,00001	12,89950	12,89949	14	0
116	108	98	106	0,00003	18,82840	18,82843	6	0
496	456	509	446	0,00004	17,14210	17,14214	11	0
408	42	425	39	0,00004	18,24260	18,24264	8	0
41	422	26	427	-0,00003	17,07110	17,07107	6	0
377	449	384	435	-0,00001	16,89950	16,89949	8	0
495	214	485	229	0,00004	19,14210	19,14214	12	0
53	450	38	443	-0,00001	17,89950	17,89949	9	1
370	130	385	123	-0,00001	17,89950	17,89949	8	0
54	488	57	506	0,00004	19,24260	19,24264	10	0
111	37	124	26	0,00005	17,55630	17,55635	6	0
277	102	293	88	-0,00001	21,79900	21,79899	7	0
250	71	230	78	-0,00001	22,89950	22,89949	6	0
89	339	76	322	-0,00002	22,38480	22,38478	26	0
31	456	27	476	-0,00005	21,65690	21,65685	7	0
56	65	76	74	0,00002	23,72790	23,72792	9	1
10	260	30	260	0,00000	20,00000	20,00000	6	0
484	288	504	285	0,00004	21,24260	21,24264	7	0
320	86	299	86	0,00000	21,00000	21,00000	5	0
481	80	484	61	0,00004	20,24260	20,24264	6	0
498	78	480	85	-0,00001	20,89950	20,89949	8	0
293	394	279	416	-0,00001	27,79900	27,79899	9	0
506	287	491	266	0,00000	27,21320	27,21320	26	0
424	87	433	74	0,00002	26,72790	26,72792	15	1
496	184	501	208	-0,00003	26,07110	26,07107	11	0
430	398	411	412	-0,00001	24,79900	24,79899	26	0
305	92	293	72	-0,00004	24,97060	24,97056	9	0
500	186	508	207	0,00001	24,31370	24,31371	11	0
467	30	445	17	-0,00002	27,38480	27,38478	8	1
55	467	35	485	0,00004	27,45580	27,45584	7	0
124	139	110	119	-0,00001	25,79900	25,79899	11	0
68	421	37	423	0,00003	31,82840	31,82843	7	0
