type: sc1
name: Octopus
algorithm: jpsplus
preprossessing [ms]: 3809

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
494	848	498	844	0,00000	5,65685	5,65685	7	0
790	739	790	744	0,00000	5,00000	5,00000	7	0
859	748	861	753	-0,00000	5,82843	5,82843	8	0
160	749	155	745	0,00000	6,65685	6,65685	10	0
841	493	844	490	0,00000	4,24264	4,24264	5	0
862	283	869	282	0,00000	7,41421	7,41421	8	0
889	442	885	437	0,00000	6,65685	6,65685	6	0
778	688	780	683	-0,00000	5,82843	5,82843	7	0
342	316	344	309	-0,00000	7,82843	7,82843	9	0
6	404	11	400	0,00000	6,65685	6,65685	5	0
657	608	656	618	0,00001	10,41420	10,41421	7	0
370	587	361	582	-0,00003	11,07110	11,07107	11	0
228	635	239	637	0,00003	11,82840	11,82843	7	0
552	229	556	220	-0,00005	10,65690	10,65685	9	0
799	825	802	816	0,00004	10,24260	10,24264	8	0
585	545	587	556	0,00003	11,82840	11,82843	8	0
646	542	654	542	0,00000	8,00000	8,00000	7	0
766	868	771	861	-0,00000	9,07107	9,07107	9	0
701	603	692	604	0,00000	9,41421	9,41421	8	0
514	121	520	116	-0,00000	8,07107	8,07107	6	0
554	239	549	252	-0,00003	15,07110	15,07107	10	0
748	175	749	163	0,00001	12,41420	12,41421	7	0
868	835	856	843	0,00001	15,31370	15,31371	13	0
947	560	942	548	-0,00003	14,07110	14,07107	9	0
570	127	568	141	0,00003	14,82840	14,82843	8	0
864	328	858	315	-0,00002	15,48530	15,48528	7	0
459	582	465	571	-0,00002	13,48530	13,48528	12	0
14	672	24	680	0,00001	13,31370	13,31371	6	0
218	271	205	266	-0,00003	15,07110	15,07107	15	0
778	799	781	786	0,00004	14,24260	14,24264	6	0
179	642	173	656	-0,00002	16,48530	16,48528	13	0
334	796	346	808	0,00004	18,14210	18,14214	8	0
1017	530	1003	523	-0,00001	16,89950	16,89949	9	0
733	457	748	468	0,00005	19,55630	19,55635	13	1
3	705	18	705	-0,00002	17,48530	17,48528	10	0
353	606	371	602	-0,00005	19,65690	19,65685	7	0
224	410	214	396	0,00004	18,14210	18,14214	13	0
317	480	303	492	-0,00004	18,97060	18,97056	18	0
128	697	116	708	0,00005	16,55630	16,55635	11	0
317	282	303	288	-0,00002	16,48530	16,48528	15	0
1000	601	1022	603	0,00003	22,82840	22,82843	5	0
28	371	38	388	-0,00001	22,89950	22,89949	13	0
223	675	236	660	-0,00002	20,38480	20,38478	10	0
750	652	764	667	-0,00001	20,79900	20,79899	13	0
567	163	571	177	0,00004	22,14210	22,14214	15	0
495	274	508	290	-0,00002	21,38480	21,38478	15	0
526	271	543	261	0,00004	21,14210	21,14214	13	0
303	319	324	326	-0,00001	23,89950	23,89949	10	0
488	832	479	850	0,00002	21,72790	21,72792	14	0
595	389	591	410	-0,00005	22,65690	22,65685	11	0
212	156	198	135	-0,00001	26,79900	26,79899	9	0
710	127	699	149	0,00005	26,55630	26,55635	13	0
743	795	723	807	-0,00004	24,97060	24,97056	12	0
721	849	747	845	-0,00005	27,65690	27,65685	7	0
518	183	541	195	-0,00004	27,97060	27,97056	12	0
372	537	380	514	0,00001	26,31370	26,31371	14	0
887	550	901	570	-0,00001	25,79900	25,79899	12	0
728	827	734	852	-0,00002	27,48530	27,48528	7	0
859	833	879	843	0,00004	24,14210	24,14214	12	0
534	310	553	295	0,00000	25,21320	25,21320	14	0
686	592	659	603	0,00005	31,55630	31,55635	22	0
728	121	707	105	0,00000	28,21320	28,21320	22	0
209	423	229	445	-0,00003	30,28430	30,28427	12	0
910	353	938	346	-0,00001	30,89950	30,89949	9	0
511	806	485	797	0,00002	29,72790	29,72792	11	0
485	708	464	686	-0,00002	30,69850	30,69848	13	0
763	331	750	307	-0,00002	29,38480	29,38478	12	0
562	98	573	122	0,00005	28,55630	28,55635	8	0
670	444	646	434	0,00004	28,14210	28,14214	23	0
39	421	61	404	0,00003	29,04160	29,04163	9	0
387	820	358	809	0,00005	33,55630	33,55635	12	0
367	538	355	509	-0,00004	33,97060	33,97056	21	0
976	295	1002	316	-0,00002	34,69850	34,69848	6	0
567	186	534	190	-0,00005	34,65690	34,65685	9	0
531	275	522	304	0,00002	32,72790	32,72792	12	0
949	557	964	537	-0,00003	32,07110	32,07107	16	0
112	674	143	669	0,00005	35,55630	35,55635	10	0
145	686	119	703	0,00003	33,04160	33,04163	10	0
319	269	344	289	-0,00003	33,28430	33,28427	12	0
166	467	192	446	-0,00002	34,69850	34,69848	20	0
547	808	526	780	-0,00002	36,69850	36,69848	19	0
340	328	367	301	-0,00003	38,18380	38,18377	15	0
461	693	466	658	-0,00003	37,07110	37,07107	9	0
238	134	274	128	-0,00003	39,07110	39,07107	19	0
100	219	91	183	0,00002	39,72790	39,72792	29	0
482	858	449	849	0,00002	36,72790	36,72792	13	0
915	250	943	271	-0,00002	36,69850	36,69848	9	0
811	835	833	864	-0,00000	38,11270	38,11270	13	0
528	231	559	252	-0,00002	39,69850	39,69848	15	0
748	490	783	494	-0,00005	36,65690	36,65685	12	0
677	594	695	629	0,00004	42,45580	42,45584	18	0
48	440	58	478	0,00004	42,14210	42,14214	7	0
108	460	93	489	-0,00002	42,38480	42,38478	27	0
839	824	825	862	-0,00001	43,79900	43,79899	15	0
269	197	306	189	0,00001	40,31370	40,31371	11	0
570	368	575	406	-0,00003	40,07110	40,07107	7	0
498	690	459	679	0,00005	43,55630	43,55635	19	0
473	842	504	815	-0,00003	42,18380	42,18377	8	0
506	758	466	765	-0,00001	42,89950	42,89949	19	1
36	399	18	433	0,00004	41,45580	41,45584	10	0
334	574	334	618	0,00000	44,00000	44,00000	5	0
574	203	544	169	0,00001	46,42640	46,42641	29	0
630	409	672	404	-0,00003	44,07110	44,07107	9	0
111	528	68	523	-0,00002	46,48530	46,48528	20	0
766	358	726	348	0,00004	44,14210	44,14214	15	0
452	638	472	676	-0,00003	46,28430	46,28427	22	0
1007	286	982	252	0,00004	44,35530	44,35534	11	0
461	403	433	368	-0,00002	46,59800	46,59798	26	0
291	181	330	200	-0,00004	46,87010	46,87006	15	0
166	164	196	129	0,00001	47,42640	47,42641	14	0
685	124	696	171	0,00005	51,55630	51,55635	8	0
