type: sc1
name: Ramparts
algorithm: jpsplus
preprossessing [ms]: 1157

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
14	179	10	177	-0,00000	4,82843	4,82843	9	0
58	189	59	182	0,00000	7,41421	7,41421	7	0
119	473	121	469	-0,00000	4,82843	4,82843	8	0
81	96	77	93	0,00000	5,24264	5,24264	7	0
343	370	340	366	0,00000	5,24264	5,24264	11	0
75	123	70	123	0,00000	5,00000	5,00000	6	0
248	394	249	399	0,00000	5,41421	5,41421	6	0
376	24	380	29	0,00000	6,65685	6,65685	6	0
195	457	200	462	-0,00000	7,07107	7,07107	5	0
68	137	68	144	0,00000	7,00000	7,00000	6	0
446	376	440	385	-0,00002	11,48530	11,48528	12	0
144	372	146	364	-0,00000	8,82843	8,82843	5	0
387	338	378	344	-0,00002	11,48530	11,48528	13	0
238	384	246	385	0,00000	8,41421	8,41421	7	0
13	376	7	370	-0,00000	9,07107	9,07107	15	0
454	60	448	54	0,00000	8,48528	8,48528	7	0
270	238	267	248	0,00004	11,24260	11,24264	8	0
472	377	482	378	0,00001	10,41420	10,41421	7	0
441	314	432	312	-0,00000	9,82843	9,82843	10	0
441	40	448	35	-0,00000	9,07107	9,07107	7	0
143	433	133	423	0,00004	14,14210	14,14214	8	0
300	423	290	418	-0,00003	12,07110	12,07107	10	0
449	1	435	3	0,00003	14,82840	14,82843	7	0
399	458	402	470	0,00004	13,24260	13,24264	9	0
190	449	179	444	-0,00003	13,07110	13,07107	8	0
96	418	86	410	0,00001	13,31370	13,31371	9	0
495	282	492	294	0,00004	13,24260	13,24264	9	0
79	220	68	215	-0,00003	13,07110	13,07107	8	0
459	402	460	417	0,00001	15,41420	15,41421	8	0
324	53	335	49	-0,00005	12,65690	12,65685	9	0
402	355	388	369	-0,00001	19,79900	19,79899	11	0
434	59	448	65	-0,00002	16,48530	16,48528	7	0
357	288	365	274	0,00001	17,31370	17,31371	9	0
344	132	361	128	-0,00005	18,65690	18,65685	8	0
29	45	46	42	0,00004	18,24260	18,24264	9	0
494	306	503	290	0,00002	19,72790	19,72792	8	0
102	374	103	390	0,00001	16,41420	16,41421	6	0
46	149	37	136	0,00002	16,72790	16,72792	9	0
47	80	62	73	-0,00001	17,89950	17,89949	7	0
426	180	433	193	-0,00003	17,07110	17,07107	13	0
27	72	47	69	0,00004	21,24260	21,24264	9	0
351	288	350	309	0,00001	21,41420	21,41421	7	0
359	32	376	40	0,00001	20,31370	20,31371	5	0
322	490	305	505	0,00000	23,21320	23,21320	13	0
176	415	195	418	0,00004	20,24260	20,24264	7	0
189	420	188	400	0,00001	20,41420	20,41421	9	0
185	469	167	475	-0,00002	20,48530	20,48528	11	0
330	280	314	268	-0,00004	20,97060	20,97056	12	0
174	402	170	380	-0,00005	23,65690	23,65685	12	0
485	292	503	300	0,00001	21,31370	21,31371	9	0
436	298	461	302	-0,00005	26,65690	26,65685	8	0
1	138	12	158	0,00005	24,55630	24,55635	7	0
196	352	211	332	0,00000	26,21320	26,21320	7	0
305	66	289	86	0,00002	26,62740	26,62742	11	0
197	452	171	448	-0,00005	27,65690	27,65685	8	0
226	363	244	377	-0,00002	24,38480	24,38478	17	0
145	123	141	147	-0,00005	25,65690	25,65685	5	0
115	144	139	144	0,00000	24,00000	24,00000	5	0
396	357	418	347	0,00004	26,14210	26,14214	9	0
488	247	508	260	-0,00002	25,38480	25,38478	9	0
297	172	309	145	-0,00004	31,97060	31,97056	15	0
47	389	65	412	0,00003	31,04160	31,04163	12	0
372	169	394	185	0,00002	28,62740	28,62742	14	0
433	383	448	361	0,00000	28,21320	28,21320	9	0
191	417	210	440	-0,00004	30,87010	30,87006	11	0
472	244	444	241	0,00004	29,24260	29,24264	9	0
234	349	208	355	-0,00002	28,48530	28,48528	23	0
493	110	488	84	-0,00003	28,07110	28,07107	17	0
129	226	135	248	0,00001	29,41420	29,41421	17	0
382	360	364	336	0,00004	31,45580	31,45584	26	0
385	46	416	42	-0,00005	32,65690	32,65685	8	0
148	415	128	442	-0,00003	35,28430	35,28427	13	0
411	78	428	103	0,00003	32,04160	32,04163	7	0
41	72	34	39	-0,00001	35,89950	35,89949	10	0
233	150	265	156	-0,00002	34,48530	34,48528	20	0
139	423	116	400	0,00001	32,52690	32,52691	17	0
114	435	97	408	0,00003	34,04160	34,04163	14	0
295	234	294	212	0,00005	34,55630	34,55635	19	0
188	424	200	454	-0,00004	34,97060	34,97056	13	0
122	243	97	219	0,00003	34,94110	34,94113	23	0
334	100	302	110	0,00004	36,14210	36,14214	13	1
78	85	44	74	0,00005	38,55630	38,55635	11	0
368	255	332	257	0,00003	36,82840	36,82843	9	0
204	348	242	346	0,00003	38,82840	38,82843	8	0
451	359	446	395	-0,00003	38,07110	38,07107	10	0
133	485	103	462	0,00001	39,52690	39,52691	43	0
392	155	406	185	0,00002	38,72790	38,72792	24	0
94	98	68	69	-0,00005	39,76960	39,76955	10	0
61	132	28	121	0,00005	37,55630	37,55635	7	0
42	166	78	172	-0,00002	38,48530	38,48528	11	0
456	319	433	346	-0,00001	41,79900	41,79899	32	0
481	292	444	303	0,00005	41,55630	41,55635	14	0
40	113	63	146	0,00001	42,52690	42,52691	11	0
283	142	299	173	0,00004	41,14210	41,14214	20	0
236	443	198	435	0,00001	41,31370	41,31371	17	0
484	384	481	425	0,00004	42,24260	42,24264	7	0
110	95	71	103	0,00001	42,31370	42,31371	6	0
219	379	184	361	0,00004	42,45580	42,45584	37	0
152	443	182	471	-0,00002	41,59800	41,59798	8	0
52	62	18	39	0,00001	43,52690	43,52691	11	0
480	49	442	64	0,00000	44,21320	44,21320	14	0
369	192	334	165	-0,00003	46,18380	46,18377	22	0
311	284	355	288	-0,00005	45,65690	45,65685	10	0
214	420	178	399	-0,00002	44,69850	44,69848	16	0
12	94	23	54	0,00005	44,55630	44,55635	9	0
57	41	14	36	-0,00003	45,07110	45,07107	8	0
477	371	474	415	0,00004	45,24260	45,24264	10	0
