type: sc1
name: RedCanyons
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
331	91	337	93	-0,00000	6,82843	6,82843	8	0
233	8	235	15	-0,00000	7,82843	7,82843	6	3
12	79	16	80	0,00000	4,41421	4,41421	5	0
93	160	87	161	0,00000	6,41421	6,41421	8	0
164	126	170	130	0,00000	7,65685	7,65685	7	1
389	231	384	233	-0,00000	5,82843	5,82843	7	0
459	466	463	470	0,00000	5,65685	5,65685	5	0
95	292	99	296	-0,00000	6,82843	6,82843	9	0
191	332	190	337	0,00000	5,41421	5,41421	7	0
232	496	226	499	0,00000	7,24264	7,24264	10	0
435	441	428	437	0,00000	8,65685	8,65685	6	1
313	293	305	286	-0,00001	10,89950	10,89949	9	0
440	453	448	457	0,00000	9,65685	9,65685	6	0
20	53	27	59	0,00000	9,48528	9,48528	5	0
122	194	129	191	0,00000	8,24264	8,24264	7	1
46	21	47	30	0,00000	9,41421	9,41421	8	0
428	319	437	314	-0,00003	11,07110	11,07107	9	0
501	337	507	331	0,00000	8,48528	8,48528	4	1
94	11	102	19	0,00001	11,31370	11,31371	3	0
32	451	25	444	0,00000	9,89949	9,89949	4	0
20	235	9	224	0,00005	15,55630	15,55635	5	1
294	453	302	444	0,00001	12,31370	12,31371	8	0
268	259	257	263	-0,00005	12,65690	12,65685	7	0
385	344	379	354	-0,00002	12,48530	12,48528	10	0
412	124	397	125	0,00001	15,41420	15,41421	8	0
262	474	264	487	0,00003	13,82840	13,82843	6	0
431	23	425	12	-0,00002	13,48530	13,48528	9	3
308	52	294	53	0,00001	14,41420	14,41421	7	0
109	312	102	323	-0,00001	13,89950	13,89949	10	0
396	499	410	499	0,00000	14,00000	14,00000	5	0
287	98	277	111	0,00004	17,14210	17,14214	11	1
116	355	102	343	-0,00004	18,97060	18,97056	7	0
8	179	15	193	-0,00001	16,89950	16,89949	6	0
450	132	434	129	0,00004	17,24260	17,24264	13	1
166	124	184	120	-0,00005	19,65690	19,65685	11	0
93	326	80	315	0,00004	18,14210	18,14214	16	0
39	434	54	430	-0,00005	16,65690	16,65685	9	0
479	399	476	416	0,00004	18,24260	18,24264	9	0
116	477	104	492	-0,00004	19,97060	19,97056	14	1
130	365	121	358	0,00004	16,24260	16,24264	16	0
452	474	458	456	-0,00002	20,48530	20,48528	8	0
259	484	259	462	0,00000	22,00000	22,00000	5	0
94	146	103	164	0,00002	21,72790	21,72792	7	1
429	429	411	421	0,00001	21,31370	21,31371	10	0
218	313	238	311	0,00003	20,82840	20,82843	9	0
235	52	224	34	0,00005	22,55630	22,55635	14	0
469	372	459	390	0,00004	22,14210	22,14214	8	0
413	495	432	483	-0,00004	23,97060	23,97056	6	1
276	318	293	331	-0,00002	22,38480	22,38478	8	0
61	462	66	483	-0,00003	23,07110	23,07107	7	0
258	389	274	408	0,00002	25,62740	25,62742	7	0
192	425	203	448	0,00005	27,55630	27,55635	11	1
218	72	244	71	0,00001	26,41420	26,41421	7	0
160	138	184	132	-0,00002	26,48530	26,48528	8	0
206	216	186	232	0,00002	26,62740	26,62742	6	0
245	430	234	410	0,00005	24,55630	24,55635	10	0
407	136	432	134	0,00003	25,82840	25,82843	7	1
259	330	262	307	0,00004	24,24260	24,24264	7	0
400	52	419	34	0,00004	26,45580	26,45584	7	0
445	436	431	416	-0,00001	25,79900	25,79899	10	0
257	489	280	470	-0,00004	30,87010	30,87006	14	1
186	410	164	426	0,00002	28,62740	28,62742	9	0
439	149	457	170	0,00004	28,45580	28,45584	9	0
406	22	429	5	0,00003	30,04160	30,04163	10	1
251	480	255	453	-0,00005	28,65690	28,65685	8	0
402	46	409	20	-0,00001	28,89950	28,89949	7	0
147	155	151	184	-0,00005	30,65690	30,65685	7	0
449	193	456	165	-0,00001	30,89950	30,89949	9	1
485	393	475	418	0,00004	29,14210	29,14214	8	0
242	152	228	175	-0,00001	28,79900	28,79899	11	0
94	315	120	333	0,00004	33,45580	33,45584	12	0
61	47	88	68	-0,00002	35,69850	35,69848	8	1
296	260	262	260	0,00000	34,00000	34,00000	5	0
370	336	395	319	0,00003	32,04160	32,04163	19	0
410	467	426	438	0,00002	35,62740	35,62742	6	0
163	89	182	115	-0,00004	33,87010	33,87006	9	1
262	344	271	373	0,00002	32,72790	32,72792	13	0
494	320	487	351	-0,00001	33,89950	33,89949	8	1
295	77	290	109	-0,00003	34,07110	34,07107	7	0
243	156	248	125	-0,00003	33,07110	33,07107	9	1
337	10	307	27	0,00003	37,04160	37,04163	13	2
333	83	348	114	0,00000	37,21320	37,21320	11	0
389	314	416	336	-0,00000	36,11270	36,11270	15	0
100	155	79	184	-0,00002	37,69850	37,69848	11	1
223	49	248	21	0,00004	38,35530	38,35534	9	0
234	20	198	14	-0,00002	38,48530	38,48528	12	0
