type: sc1
name: RiverLethe
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
297	666	295	662	-0,00000	4,82843	4,82843	33	0
17	656	21	653	0,00000	5,24264	5,24264	36	0
403	513	400	510	0,00000	4,24264	4,24264	23	0
249	687	247	682	-0,00000	5,82843	5,82843	41	0
63	289	56	288	0,00000	7,41421	7,41421	51	0
8	236	4	238	-0,00000	4,82843	4,82843	34	0
504	454	500	457	0,00000	5,24264	5,24264	36	0
173	257	167	254	0,00000	7,24264	7,24264	52	0
475	421	478	417	0,00000	5,24264	5,24264	36	0
43	660	44	667	0,00000	7,41421	7,41421	51	0
251	421	261	423	0,00003	10,82840	10,82843	87	0
357	221	359	232	0,00003	11,82840	11,82843	95	0
488	492	492	499	0,00000	8,65685	8,65685	70	0
325	239	326	232	-0,00000	8,82843	8,82843	48	0
79	319	81	326	0,00000	8,41421	8,41421	59	0
203	543	203	554	0,00000	11,00000	11,00000	79	0
426	565	417	563	-0,00000	9,82843	9,82843	73	0
244	699	251	694	-0,00000	9,07107	9,07107	69	0
173	595	162	596	0,00001	11,41420	11,41421	79	0
198	494	204	489	-0,00000	8,07107	8,07107	44	0
323	59	336	62	0,00004	14,24260	14,24264	132	0
29	654	22	667	-0,00001	15,89950	15,89949	156	1
95	589	107	580	0,00002	15,72790	15,72792	119	0
184	155	196	153	0,00003	12,82840	12,82843	108	0
208	590	212	577	-0,00005	14,65690	14,65685	145	0
409	575	399	568	-0,00001	12,89950	12,89949	114	0
259	574	249	584	0,00004	14,14210	14,14214	72	0
245	412	256	406	-0,00002	13,48530	13,48528	127	0
413	277	407	289	-0,00002	14,48530	14,48528	135	0
418	248	408	257	0,00002	13,72790	13,72792	96	0
286	561	275	548	0,00002	18,72790	18,72792	193	0
344	106	360	104	0,00003	16,82840	16,82843	151	0
34	389	17	385	-0,00005	18,65690	18,65685	135	0
391	153	376	164	0,00005	19,55630	19,55635	186	0
260	185	272	172	-0,00004	17,97060	17,97056	125	0
180	699	173	716	-0,00001	19,89950	19,89949	223	0
281	657	298	656	0,00001	17,41420	17,41421	121	1
95	422	93	403	0,00003	19,82840	19,82843	164	0
488	360	471	361	0,00001	17,41420	17,41421	121	0
330	39	316	30	0,00002	17,72790	17,72792	166	0
365	650	381	640	0,00004	20,14210	20,14214	211	0
453	252	436	238	-0,00001	22,79900	22,79899	200	0
207	85	219	103	-0,00004	22,97060	22,97056	238	0
258	310	239	318	0,00001	22,31370	22,31371	250	0
120	756	134	738	-0,00001	23,79900	23,79899	226	0
27	631	29	653	0,00003	22,82840	22,82843	203	0
419	360	401	366	-0,00002	20,48530	20,48528	231	1
35	243	33	220	0,00003	23,82840	23,82843	218	0
407	199	391	187	-0,00004	20,97060	20,97056	202	0
441	125	453	109	-0,00004	20,97060	20,97056	202	0
272	16	291	33	0,00003	26,04160	26,04163	218	0
508	338	483	335	0,00004	26,24260	26,24264	216	0
297	661	284	683	-0,00002	27,38480	27,38478	336	0
234	549	256	541	0,00001	25,31370	25,31371	299	0
389	222	405	241	0,00002	25,62740	25,62742	229	1
511	500	486	506	-0,00002	27,48530	27,48528	326	0
237	333	217	350	0,00003	27,04160	27,04163	243	0
228	210	219	234	0,00002	27,72790	27,72792	363	0
99	163	76	159	-0,00005	24,65690	24,65685	248	0
383	49	403	36	-0,00002	25,38480	25,38478	288	0
276	25	300	11	-0,00001	29,79900	29,79899	378	1
353	660	366	636	-0,00002	29,38480	29,38478	380	0
337	275	363	264	0,00005	30,55630	30,55635	408	0
203	603	222	622	0,00003	28,04160	28,04163	227	0
362	623	351	598	0,00005	29,55630	29,55635	368	1
285	393	291	421	-0,00002	30,48530	30,48528	380	0
162	374	192	370	-0,00005	31,65690	31,65685	358	0
101	698	106	725	-0,00003	29,07110	29,07107	325	0
139	755	154	731	0,00000	30,21320	30,21320	381	0
43	245	15	250	-0,00003	30,07110	30,07107	341	1
220	626	210	654	0,00004	32,14210	32,14214	426	0
79	426	65	399	-0,00001	32,79900	32,79899	428	0
369	617	347	594	-0,00000	32,11270	32,11270	201	0
302	440	307	408	-0,00003	34,07110	34,07107	393	0
445	72	470	49	-0,00000	35,11270	35,11270	289	1
278	196	252	211	0,00000	32,21320	32,21320	422	0
321	279	350	290	0,00005	33,55630	33,55635	458	0
93	698	67	676	-0,00000	35,11270	35,11270	332	0
413	268	440	255	-0,00002	32,38480	32,38478	438	1
433	456	454	429	-0,00002	35,69850	35,69848	398	0
243	658	225	627	0,00004	38,45580	38,45584	537	0
50	667	47	629	0,00004	39,24260	39,24264	289	0
258	675	280	645	-0,00000	39,11270	39,11270	476	1
293	340	318	368	0,00004	38,35530	38,35534	349	0
214	658	226	625	-0,00004	37,97060	37,97056	510	0
162	251	192	269	0,00004	37,45580	37,45584	496	1
112	762	135	732	0,00001	39,52690	39,52691	453	0
