type: sc1
name: Rosewood
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
77	427	81	423	0,00000	5,65685	5,65685	5	0
124	427	119	428	0,00000	5,41421	5,41421	7	0
343	285	336	286	0,00000	7,41421	7,41421	7	0
312	428	317	432	0,00000	6,65685	6,65685	7	1
332	205	330	199	-0,00000	6,82843	6,82843	6	0
175	432	176	438	0,00000	7,00000	7,00000	8	0
190	390	193	393	0,00000	4,24264	4,24264	8	0
396	392	391	395	0,00000	6,24264	6,24264	12	0
378	102	375	98	0,00000	5,24264	5,24264	4	0
41	419	39	423	-0,00000	4,82843	4,82843	9	0
246	426	252	420	0,00000	8,48528	8,48528	9	0
114	390	124	392	0,00003	10,82840	10,82843	7	0
376	440	377	429	0,00001	11,41420	11,41421	8	1
265	406	258	414	-0,00001	10,89950	10,89949	13	0
254	38	246	30	0,00001	11,31370	11,31371	5	0
240	204	230	208	-0,00005	11,65690	11,65685	10	0
278	152	286	156	0,00000	9,65685	9,65685	9	0
408	429	406	420	-0,00000	9,82843	9,82843	9	0
242	24	235	28	0,00000	8,65685	8,65685	11	1
280	147	280	139	0,00000	8,00000	8,00000	7	0
81	196	96	194	0,00003	15,82840	15,82843	7	1
424	157	437	158	0,00001	13,41420	13,41421	7	0
261	292	274	292	0,00000	13,00000	13,00000	6	0
390	281	376	278	0,00004	15,24260	15,24264	8	0
291	189	304	184	-0,00003	15,07110	15,07107	10	0
226	44	216	49	-0,00003	12,07110	12,07107	8	1
474	483	485	489	-0,00002	13,48530	13,48528	6	0
382	434	371	438	-0,00005	12,65690	12,65685	7	0
319	286	326	296	-0,00001	12,89950	12,89949	12	0
378	139	378	153	0,00000	14,00000	14,00000	6	0
196	264	210	259	-0,00003	16,07110	16,07107	10	0
214	10	230	16	-0,00002	18,48530	18,48528	6	1
108	420	115	403	-0,00001	19,89950	19,89949	8	0
189	390	194	405	-0,00003	17,07110	17,07107	11	0
42	230	47	215	-0,00003	17,07110	17,07107	7	1
124	380	112	370	0,00004	16,14210	16,14214	8	0
16	93	6	80	0,00004	17,14210	17,14214	5	0
130	467	115	462	-0,00003	17,07110	17,07107	13	0
52	424	38	430	-0,00002	16,48530	16,48528	9	0
121	386	113	373	0,00001	16,31370	16,31371	7	0
396	426	419	425	0,00001	23,41420	23,41421	7	1
239	44	257	50	-0,00002	20,48530	20,48528	7	0
102	191	115	208	-0,00002	22,38480	22,38478	8	0
338	368	329	354	-0,00005	20,65690	20,65685	16	0
256	415	242	400	0,00004	23,14210	23,14214	20	1
373	236	353	227	0,00002	23,72790	23,72792	11	0
317	274	335	261	-0,00002	23,38480	23,38478	19	0
84	195	103	189	-0,00002	21,48530	21,48528	7	0
469	132	485	146	-0,00001	21,79900	21,79899	7	1
261	97	241	93	-0,00005	21,65690	21,65685	11	0
278	209	288	189	0,00004	24,14210	24,14214	14	0
232	163	238	185	-0,00002	24,48530	24,48528	13	0
232	219	219	241	-0,00002	27,38480	27,38478	24	0
175	433	150	438	-0,00003	27,07110	27,07107	10	1
404	286	386	267	0,00004	26,45580	26,45584	23	0
59	414	38	404	0,00004	25,14210	25,14214	9	0
213	110	233	128	0,00004	27,45580	27,45584	16	0
