type: sc1
name: Sandstorm
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
15	66	16	60	0,00000	6,41421	6,41421	44	0
241	268	240	274	0,00000	6,41421	6,41421	44	0
235	301	231	295	0,00000	7,65685	7,65685	53	0
281	315	288	317	-0,00000	7,82843	7,82843	57	0
290	87	283	89	-0,00000	7,82843	7,82843	41	0
117	246	122	250	0,00000	6,65685	6,65685	43	0
132	48	138	48	0,00000	6,00000	6,00000	44	0
298	228	297	222	0,00000	6,41421	6,41421	44	0
199	166	202	172	0,00000	7,24264	7,24264	52	0
276	169	278	163	-0,00000	6,82843	6,82843	49	0
426	211	421	203	-0,00003	10,07110	10,07107	78	0
370	33	366	43	-0,00005	11,65690	11,65685	104	0
241	183	249	184	0,00000	8,41421	8,41421	58	0
254	277	253	286	0,00000	9,41421	9,41421	65	0
242	263	239	272	0,00004	10,24260	10,24264	90	0
81	212	74	209	0,00000	8,24264	8,24264	67	0
403	201	396	204	0,00000	8,24264	8,24264	65	0
404	248	409	254	-0,00000	8,07107	8,07107	44	0
396	221	386	222	0,00001	10,41420	10,41421	72	0
25	242	23	250	-0,00000	8,82843	8,82843	69	0
359	107	365	94	-0,00002	15,48530	15,48528	148	1
78	224	92	228	-0,00005	15,65690	15,65685	159	0
270	268	263	257	-0,00001	13,89950	13,89949	121	0
13	229	4	240	0,00002	14,72790	14,72792	123	0
85	244	72	237	-0,00001	15,89950	15,89949	157	0
78	257	65	254	0,00004	14,24260	14,24264	132	0
96	72	85	83	0,00005	15,55630	15,55635	78	0
90	229	93	243	0,00004	15,24260	15,24264	142	0
45	225	55	215	0,00004	14,14210	14,14214	72	0
239	360	226	358	0,00003	13,82840	13,82843	118	0
102	230	97	214	-0,00003	18,07110	18,07107	186	0
325	374	334	359	0,00002	18,72790	18,72792	189	0
447	234	459	248	-0,00004	18,97060	18,97056	154	0
242	329	228	316	-0,00002	19,38480	19,38478	136	0
238	149	225	158	0,00002	16,72790	16,72792	153	0
288	240	297	256	0,00002	19,72790	19,72792	205	1
109	198	96	190	0,00001	16,31370	16,31371	155	0
408	222	410	239	0,00003	17,82840	17,82843	145	0
114	107	114	123	0,00000	16,00000	16,00000	113	0
457	254	473	249	-0,00003	18,07110	18,07107	182	0
359	213	370	229	0,00004	21,14210	21,14214	175	0
92	210	102	193	0,00004	21,14210	21,14214	222	0
288	99	307	93	-0,00002	21,48530	21,48528	232	0
25	39	40	22	-0,00001	23,79900	23,79899	153	0
183	373	206	371	0,00003	23,82840	23,82843	199	0
160	136	140	131	-0,00003	22,07110	22,07107	226	0
95	7	75	9	0,00003	20,82840	20,82843	168	1
134	83	153	91	0,00001	22,31370	22,31371	250	0
507	252	493	241	0,00004	21,14210	21,14214	209	0
368	98	347	94	-0,00005	22,65690	22,65685	238	0
422	232	403	219	-0,00002	24,38480	24,38478	255	0
162	110	166	86	-0,00005	25,65690	25,65685	268	0
223	367	200	376	0,00002	26,72790	26,72792	341	0
136	46	156	65	-0,00004	27,87010	27,87006	196	1
308	57	329	49	0,00001	24,31370	24,31371	261	0
431	228	430	253	0,00001	25,41420	25,41421	177	0
273	283	261	304	-0,00004	25,97060	25,97056	314	0
297	305	296	282	0,00004	24,24260	24,24264	201	0
234	180	256	170	0,00004	26,14210	26,14214	330	0
265	185	290	184	0,00001	25,41420	25,41421	177	0
263	332	236	341	0,00002	30,72790	30,72792	410	1
274	281	297	268	-0,00002	28,38480	28,38478	353	0
131	113	125	87	-0,00002	28,48530	28,48528	353	0
404	221	424	198	-0,00003	31,28430	31,28427	285	0
53	227	55	258	0,00003	31,82840	31,82843	253	0
121	64	123	92	0,00003	28,82840	28,82843	252	0
368	75	346	94	-0,00004	29,87010	29,87006	271	0
385	236	412	243	-0,00001	29,89950	29,89949	364	1
102	91	113	67	0,00005	28,55630	28,55635	378	0
106	82	98	54	0,00001	31,31370	31,31371	408	0
269	290	264	257	-0,00003	35,07110	35,07107	400	0
95	100	116	74	-0,00002	34,69850	34,69848	368	1
297	232	274	258	0,00001	35,52690	35,52691	325	0
264	202	277	174	-0,00002	33,38480	33,38478	458	0
17	52	34	24	0,00003	35,04160	35,04163	359	0
501	223	469	219	-0,00002	34,48530	34,48528	271	0
222	182	256	180	0,00003	34,82840	34,82843	298	0
120	7	150	18	0,00005	34,55630	34,55635	349	0
318	67	310	98	0,00001	34,31370	34,31371	449	0
359	112	346	82	-0,00002	35,38480	35,38478	501	0
130	4	165	12	0,00001	38,31370	38,31371	515	1
