type: sc1
name: ShroudPlatform
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
407	492	403	493	0,00000	4,41421	4,41421	30	0
381	20	383	16	-0,00000	4,82843	4,82843	33	0
244	333	248	329	0,00000	5,65685	5,65685	30	0
121	365	122	360	0,00000	5,41421	5,41421	37	0
154	87	147	88	0,00000	7,41421	7,41421	51	0
447	76	442	77	0,00000	5,41421	5,41421	37	0
323	391	326	388	0,00000	4,24264	4,24264	23	0
323	163	328	160	0,00000	6,24264	6,24264	43	0
367	413	370	416	0,00000	4,24264	4,24264	23	0
379	319	374	316	0,00000	6,24264	6,24264	43	0
336	429	342	421	-0,00002	10,48530	10,48528	82	0
389	162	388	151	0,00001	11,41420	11,41421	79	0
103	180	111	188	0,00001	11,31370	11,31371	58	0
348	254	356	254	0,00000	8,00000	8,00000	57	0
363	312	371	315	0,00000	9,24264	9,24264	73	0
122	118	112	119	0,00001	10,41420	10,41421	72	0
62	26	56	33	0,00000	9,48528	9,48528	66	0
99	302	90	297	-0,00003	11,07110	11,07107	90	0
126	94	135	89	-0,00003	11,07110	11,07107	90	0
248	163	242	171	-0,00002	10,48530	10,48528	82	0
432	144	434	158	0,00003	14,82840	14,82843	130	0
15	396	14	411	0,00001	15,41420	15,41421	104	0
142	198	157	199	0,00001	15,41420	15,41421	107	0
35	480	21	479	0,00001	14,41420	14,41421	100	0
456	63	444	71	0,00001	15,31370	15,31371	135	0
379	160	394	159	0,00001	15,41420	15,41421	107	0
334	483	337	494	0,00004	12,24260	12,24264	110	0
127	394	140	390	-0,00005	14,65690	14,65685	142	0
336	366	344	356	0,00001	13,31370	13,31371	111	0
107	462	97	469	-0,00001	12,89950	12,89949	114	0
303	364	288	356	0,00001	18,31370	18,31371	195	1
62	282	69	267	-0,00001	17,89950	17,89949	185	0
379	107	395	110	0,00004	17,24260	17,24264	170	0
269	295	251	299	-0,00005	19,65690	19,65685	171	0
92	132	93	116	0,00001	16,41420	16,41421	114	0
143	383	159	387	-0,00005	17,65690	17,65685	152	0
240	356	232	343	0,00001	16,31370	16,31371	153	0
12	65	26	57	0,00001	17,31370	17,31371	175	0
418	455	418	473	0,00000	18,00000	18,00000	128	0
395	318	388	333	-0,00001	17,89950	17,89949	185	0
450	262	433	252	0,00004	21,14210	21,14214	205	0
271	177	294	178	0,00001	23,41420	23,41421	163	0
211	344	199	362	-0,00004	22,97060	22,97056	238	1
448	85	469	84	0,00001	21,41420	21,41421	149	0
402	204	401	224	0,00001	20,41420	20,41421	142	0
307	213	315	232	0,00001	22,31370	22,31371	233	0
423	134	434	118	0,00005	20,55630	20,55635	205	0
180	452	199	446	-0,00002	21,48530	21,48528	232	0
416	455	433	439	0,00002	23,62740	23,62742	166	0
462	246	457	228	-0,00003	20,07110	20,07107	215	0
5	100	27	94	-0,00002	24,48530	24,48528	285	0
172	186	172	165	-0,00001	26,79900	26,79899	246	1
349	295	374	296	0,00001	25,41420	25,41421	176	0
251	147	228	142	-0,00003	25,07110	25,07107	280	0
23	55	1	47	0,00001	25,31370	25,31371	299	0
416	378	437	363	0,00000	27,21320	27,21320	299	0
324	80	319	58	-0,00003	24,07110	24,07107	275	0
387	490	360	488	0,00003	27,82840	27,82843	241	0
57	425	32	420	-0,00003	27,07110	27,07107	312	0
401	63	426	70	-0,00001	27,89950	27,89949	319	1
21	34	41	12	-0,00003	30,28430	30,28427	250	0
315	146	291	135	0,00005	28,55630	28,55635	378	0
