type: sc1
name: ShroudPlatform
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
407	492	403	493	0,00000	4,41421	4,41421	5	2
381	20	383	16	-0,00000	4,82843	4,82843	8	0
244	333	248	329	0,00000	5,65685	5,65685	4	0
121	365	122	360	0,00000	5,41421	5,41421	7	0
154	87	147	88	0,00000	7,41421	7,41421	5	0
447	76	442	77	0,00000	5,41421	5,41421	7	0
323	391	326	388	0,00000	4,24264	4,24264	3	0
323	163	328	160	0,00000	6,24264	6,24264	7	1
367	413	370	416	0,00000	4,24264	4,24264	4	0
379	319	374	316	0,00000	6,24264	6,24264	6	0
336	429	342	421	-0,00002	10,48530	10,48528	6	0
389	162	388	151	0,00001	11,41420	11,41421	9	0
103	180	111	188	0,00001	11,31370	11,31371	8	0
348	254	356	254	0,00000	8,00000	8,00000	6	0
363	312	371	315	0,00000	9,24264	9,24264	6	0
122	118	112	119	0,00001	10,41420	10,41421	6	1
62	26	56	33	0,00000	9,48528	9,48528	4	2
99	302	90	297	-0,00003	11,07110	11,07107	13	0
126	94	135	89	-0,00003	11,07110	11,07107	6	0
248	163	242	171	-0,00002	10,48530	10,48528	12	1
432	144	434	158	0,00003	14,82840	14,82843	10	0
15	396	14	411	0,00001	15,41420	15,41421	5	0
142	198	157	199	0,00001	15,41420	15,41421	7	0
35	480	21	479	0,00001	14,41420	14,41421	7	1
456	63	444	71	0,00001	15,31370	15,31371	21	0
379	160	394	159	0,00001	15,41420	15,41421	8	0
334	483	337	494	0,00004	12,24260	12,24264	4	1
127	394	140	390	-0,00005	14,65690	14,65685	10	0
336	366	344	356	0,00001	13,31370	13,31371	7	0
107	462	97	469	-0,00001	12,89950	12,89949	7	0
303	364	288	356	0,00001	18,31370	18,31371	11	1
62	282	69	267	-0,00001	17,89950	17,89949	8	0
379	107	395	110	0,00004	17,24260	17,24264	9	0
269	295	251	299	-0,00005	19,65690	19,65685	15	0
92	132	93	116	0,00001	16,41420	16,41421	6	0
143	383	159	387	-0,00005	17,65690	17,65685	10	0
240	356	232	343	0,00001	16,31370	16,31371	14	0
12	65	26	57	0,00001	17,31370	17,31371	4	1
418	455	418	473	0,00000	18,00000	18,00000	4	0
395	318	388	333	-0,00001	17,89950	17,89949	15	1
450	262	433	252	0,00004	21,14210	21,14214	14	0
271	177	294	178	0,00001	23,41420	23,41421	6	0
211	344	199	362	-0,00004	22,97060	22,97056	14	0
448	85	469	84	0,00001	21,41420	21,41421	7	0
402	204	401	224	0,00001	20,41420	20,41421	9	0
307	213	315	232	0,00001	22,31370	22,31371	7	1
423	134	434	118	0,00005	20,55630	20,55635	12	0
180	452	199	446	-0,00002	21,48530	21,48528	6	0
416	455	433	439	0,00002	23,62740	23,62742	5	0
462	246	457	228	-0,00003	20,07110	20,07107	5	0
5	100	27	94	-0,00002	24,48530	24,48528	4	0
172	186	172	165	-0,00001	26,79900	26,79899	20	0
349	295	374	296	0,00001	25,41420	25,41421	6	0
251	147	228	142	-0,00003	25,07110	25,07107	5	0
23	55	1	47	0,00001	25,31370	25,31371	4	0
416	378	437	363	0,00000	27,21320	27,21320	14	1
324	80	319	58	-0,00003	24,07110	24,07107	11	0
387	490	360	488	0,00003	27,82840	27,82843	5	1
57	425	32	420	-0,00003	27,07110	27,07107	8	0
401	63	426	70	-0,00001	27,89950	27,89949	11	1
21	34	41	12	-0,00003	30,28430	30,28427	5	1
315	146	291	135	0,00005	28,55630	28,55635	8	0
29	75	12	54	0,00003	28,04160	28,04163	4	1
62	145	38	133	-0,00004	28,97060	28,97056	21	0
416	4	387	0	-0,00005	30,65690	30,65685	7	0
133	375	113	354	-0,00003	29,28430	29,28427	12	1
392	6	393	37	0,00001	31,41420	31,41421	6	1
312	52	338	57	-0,00003	28,07110	28,07107	11	0
477	492	481	465	-0,00005	28,65690	28,65685	4	1
432	143	429	115	0,00004	29,24260	29,24264	11	0
330	285	296	288	0,00004	35,24260	35,24264	5	0
436	476	439	443	0,00004	34,24260	34,24264	4	1
454	280	452	251	0,00004	33,14210	33,14214	11	0
238	182	219	154	-0,00004	35,87010	35,87006	32	0
262	348	287	371	0,00001	34,52690	34,52691	9	0
415	70	407	40	0,00001	33,31370	33,31371	25	1
92	470	110	495	0,00004	32,45580	32,45584	7	1
434	498	443	467	0,00002	34,72790	34,72792	4	1
30	46	51	20	-0,00002	34,69850	34,69848	4	2
256	140	280	166	0,00003	35,94110	35,94113	5	0
98	486	101	449	0,00004	38,24260	38,24264	7	1
412	507	376	503	-0,00005	37,65690	37,65685	4	1
156	426	184	446	-0,00003	36,28430	36,28427	9	0
465	444	485	416	-0,00003	36,28430	36,28427	4	1
261	361	234	337	0,00003	36,94110	36,94113	14	0
485	87	474	55	0,00005	36,55630	36,55635	23	0
306	266	274	255	0,00005	36,55630	36,55635	9	0
135	300	152	330	0,00003	37,04160	37,04163	7	0
406	118	395	152	0,00005	38,55630	38,55635	16	1
376	193	371	230	-0,00003	39,07110	39,07107	8	0
381	18	351	44	-0,00005	40,76960	40,76955	34	0
165	437	141	406	0,00003	40,94110	40,94113	35	0
257	370	251	408	-0,00002	40,48530	40,48528	18	0
104	58	71	75	0,00003	40,04160	40,04163	5	1
131	290	170	300	0,00004	43,14210	43,14214	5	0
202	447	167	432	0,00000	41,21320	41,21320	28	0
377	126	412	144	0,00004	42,45580	42,45584	14	1
73	377	110	368	0,00002	40,72790	40,72792	10	0
209	383	250	377	-0,00002	43,48530	43,48528	7	0
389	48	423	67	-0,00004	41,87010	41,87006	7	1
87	49	131	44	-0,00003	46,07110	46,07107	6	2
166	278	202	298	-0,00003	44,28430	44,28427	26	0
363	142	402	121	-0,00002	47,69850	47,69848	15	0
354	81	357	46	0,00001	44,52690	44,52691	38	1
380	507	391	467	0,00005	44,55630	44,55635	5	1
274	250	227	248	0,00003	47,82840	47,82843	7	0
125	468	146	507	-0,00002	47,69850	47,69848	9	0
92	349	121	384	-0,00001	47,01220	47,01219	11	0
67	497	34	469	-0,00002	44,59800	44,59798	22	1
428	461	445	422	0,00003	46,04160	46,04163	8	1
310	203	266	213	-0,00004	48,97060	48,97056	32	0
382	286	356	327	-0,00005	51,76960	51,76955	8	0
340	96	378	121	0,00001	49,52690	49,52691	30	0
342	90	356	44	-0,00001	51,79900	51,79899	26	1
180	370	227	373	0,00004	48,24260	48,24264	8	0
67	216	24	236	-0,00003	51,28430	51,28427	12	0
98	53	148	50	0,00004	51,24260	51,24264	6	2
362	329	372	282	0,00004	51,14210	51,14214	16	0
51	55	88	27	-0,00002	48,59800	48,59798	5	2
88	30	138	33	0,00004	51,24260	51,24264	4	2
264	355	216	371	0,00002	54,62740	54,62742	25	0
281	288	249	256	0,00003	53,94110	53,94113	59	0
409	365	370	333	0,00003	52,25480	52,25483	34	1
247	314	269	270	-0,00000	53,11270	53,11270	19	0
308	117	349	145	-0,00002	52,59800	52,59798	24	0
319	374	267	379	-0,00003	54,07110	54,07107	20	0
384	366	336	384	0,00004	55,45580	55,45584	21	0
392	120	438	139	-0,00004	53,87010	53,87006	9	0
383	301	399	348	0,00002	53,62740	53,62742	10	1
377	145	426	156	0,00005	53,55630	53,55635	10	0
156	490	194	447	0,00002	58,74010	58,74012	11	0
346	442	342	497	0,00001	58,31370	58,31371	11	0
46	43	92	75	0,00003	59,25480	59,25483	5	3
377	48	327	68	-0,00003	58,28430	58,28427	41	0
379	378	393	324	-0,00001	59,79900	59,79899	25	1
255	99	304	116	0,00003	56,04160	56,04163	19	0
167	29	200	64	0,00004	59,35530	59,35534	11	1
144	248	192	224	0,00003	57,94110	57,94113	33	1
66	480	114	455	0,00004	58,35530	58,35534	21	0
108	364	140	319	0,00003	58,25480	58,25483	10	0
150	369	95	385	0,00002	61,62740	61,62742	32	1
211	358	252	402	-0,00004	60,98280	60,98276	8	0
120	505	183	505	0,00000	63,00000	63,00000	5	0
