type: sc1
name: SpringThaw
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
858	454	860	459	-0,00000	5,82843	5,82843	8	0
565	91	565	84	0,00000	7,00000	7,00000	6	0
905	428	903	434	-0,00000	6,82843	6,82843	10	0
569	347	571	343	-0,00000	4,82843	4,82843	7	0
891	365	886	366	0,00000	5,41421	5,41421	7	0
565	449	562	455	0,00000	7,24264	7,24264	7	0
893	33	888	37	0,00000	6,65685	6,65685	10	1
343	468	349	467	0,00000	6,41421	6,41421	9	0
376	482	382	486	0,00000	7,65685	7,65685	7	0
590	474	593	479	0,00000	6,24264	6,24264	8	0
93	112	99	104	-0,00002	10,48530	10,48528	12	0
676	281	671	272	-0,00003	11,07110	11,07107	11	0
286	488	290	498	-0,00005	11,65690	11,65685	8	0
596	157	594	149	-0,00000	8,82843	8,82843	9	1
82	452	91	458	-0,00002	11,48530	11,48528	8	0
339	420	347	418	-0,00000	8,82843	8,82843	8	0
84	468	95	466	0,00003	11,82840	11,82843	10	0
2	81	13	79	0,00003	11,82840	11,82843	5	0
756	150	753	158	0,00000	9,24264	9,24264	9	1
250	98	242	98	0,00000	8,00000	8,00000	6	0
256	170	250	180	-0,00002	12,48530	12,48528	13	0
890	80	892	94	0,00003	14,82840	14,82843	7	1
519	389	531	398	0,00002	15,72790	15,72792	12	1
529	80	531	93	0,00003	13,82840	13,82843	7	0
1017	85	1014	98	0,00004	14,24260	14,24264	5	0
134	70	125	61	0,00002	12,72790	12,72792	14	1
767	73	766	86	0,00001	13,41420	13,41421	8	0
248	40	239	48	0,00001	12,31370	12,31371	9	1
280	473	292	480	-0,00001	14,89950	14,89949	6	0
271	91	279	79	0,00001	15,31370	15,31371	7	1
67	43	82	54	0,00005	19,55630	19,55635	8	0
155	440	168	453	-0,00002	18,38480	18,38478	6	0
123	48	109	35	-0,00002	19,38480	19,38478	14	0
485	148	471	137	0,00005	18,55630	18,55635	15	1
