type: sc1
name: SteppingStones
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
105	131	110	127	0,00000	6,65685	6,65685	8	0
199	284	200	291	0,00000	7,41421	7,41421	7	0
471	511	465	509	-0,00000	6,82843	6,82843	5	11
403	504	403	508	0,00000	4,00000	4,00000	6	0
228	179	226	184	-0,00000	5,82843	5,82843	8	0
346	64	347	71	0,00000	7,41421	7,41421	8	0
465	335	470	333	-0,00000	5,82843	5,82843	8	0
70	502	74	503	0,00000	4,41421	4,41421	7	1
398	272	398	276	0,00000	4,00000	4,00000	7	0
293	448	286	446	-0,00000	7,82843	7,82843	9	0
50	160	46	170	-0,00005	11,65690	11,65685	7	0
166	461	165	470	0,00000	9,41421	9,41421	7	0
416	312	426	315	0,00004	11,24260	11,24264	7	1
238	226	244	219	0,00000	9,48528	9,48528	7	0
448	291	457	295	-0,00005	10,65690	10,65685	8	0
392	230	399	236	0,00000	9,48528	9,48528	10	0
469	108	463	114	0,00000	8,48528	8,48528	4	0
215	322	207	317	-0,00003	10,07110	10,07107	13	0
364	318	368	311	0,00000	8,65685	8,65685	10	1
345	508	352	505	0,00000	10,00000	10,00000	6	7
367	230	377	239	0,00002	13,72790	13,72792	10	0
211	374	222	364	0,00004	15,14210	15,14214	14	0
214	156	202	165	0,00002	15,72790	15,72792	17	0
96	136	84	145	0,00002	15,72790	15,72792	12	1
227	133	216	128	-0,00003	13,07110	13,07107	12	0
241	500	230	496	-0,00005	12,65690	12,65685	8	3
197	443	194	431	0,00004	13,24260	13,24264	9	0
227	321	225	333	0,00003	12,82840	12,82843	9	0
370	109	358	101	0,00001	15,31370	15,31371	12	0
369	330	381	323	-0,00001	14,89950	14,89949	12	1
228	310	242	318	0,00001	17,31370	17,31371	13	0
437	183	443	169	-0,00002	16,48530	16,48528	9	1
452	30	465	40	0,00004	17,14210	17,14214	10	0
361	64	379	62	0,00003	18,82840	18,82843	10	0
315	127	301	121	-0,00002	16,48530	16,48528	9	1
139	383	154	380	0,00004	16,24260	16,24264	9	0
228	328	216	338	0,00004	16,14210	16,14214	10	0
503	144	488	132	-0,00004	19,97060	19,97056	13	4
238	422	222	419	0,00004	17,24260	17,24264	8	0
397	213	384	226	-0,00002	18,38480	18,38478	18	0
111	47	88	45	0,00003	23,82840	23,82843	11	0
89	186	95	166	-0,00002	22,48530	22,48528	8	0
379	206	385	226	-0,00002	22,48530	22,48528	10	1
388	220	407	216	-0,00005	20,65690	20,65685	8	0
433	189	452	199	0,00004	23,14210	23,14214	7	0
385	208	373	189	-0,00004	23,97060	23,97056	18	1
378	229	370	248	0,00001	22,31370	22,31371	11	0
232	174	211	177	0,00004	22,24260	22,24264	7	0
174	254	172	231	0,00003	23,82840	23,82843	9	0
60	29	60	51	0,00000	22,00000	22,00000	6	0
221	287	217	261	-0,00005	27,65690	27,65685	13	0
