type: sc1
name: TheFrozenSea
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
954	787	958	784	0,00000	5,24264	5,24264	8	0
872	734	867	737	0,00000	6,24264	6,24264	12	0
768	277	767	283	0,00000	6,41421	6,41421	7	0
202	741	203	745	0,00000	4,41421	4,41421	7	0
542	487	539	483	0,00000	5,24264	5,24264	8	0
624	397	628	397	0,00000	4,00000	4,00000	7	0
523	45	527	42	0,00000	5,24264	5,24264	10	0
844	475	846	471	-0,00000	4,82843	4,82843	9	0
196	925	194	929	-0,00000	4,82843	4,82843	7	0
155	462	158	467	0,00000	6,24264	6,24264	8	1
473	589	478	583	-0,00000	8,07107	8,07107	9	0
389	862	388	873	0,00001	11,41420	11,41421	6	0
272	594	264	588	-0,00002	10,48530	10,48528	11	0
561	382	556	388	-0,00000	8,07107	8,07107	8	0
905	170	910	162	-0,00003	10,07110	10,07107	6	0
500	924	509	920	-0,00005	10,65690	10,65685	8	0
328	403	334	396	0,00000	9,48528	9,48528	8	0
6	794	12	799	-0,00000	8,07107	8,07107	5	0
869	739	875	733	0,00000	8,48528	8,48528	8	0
190	402	180	402	0,00000	10,00000	10,00000	6	1
167	867	156	859	0,00001	14,31370	14,31371	11	0
950	161	956	150	-0,00002	13,48530	13,48528	9	0
73	622	62	632	0,00002	15,72790	15,72792	12	0
437	733	426	741	0,00001	14,31370	14,31371	14	0
18	296	31	302	-0,00002	15,48530	15,48528	7	0
55	857	68	863	-0,00002	15,48530	15,48528	8	0
606	436	597	447	0,00002	14,72790	14,72792	13	0
945	1009	933	1004	-0,00003	14,07110	14,07107	11	1
610	318	623	311	-0,00001	15,89950	15,89949	11	0
820	796	832	800	-0,00005	13,65690	13,65685	10	0
54	293	37	295	0,00004	19,24260	19,24264	11	0
6	38	18	51	-0,00004	17,97060	17,97056	7	2
881	565	869	580	-0,00004	19,97060	19,97056	13	1
624	65	623	48	0,00001	17,41420	17,41421	8	0
900	157	889	171	0,00005	18,55630	18,55635	12	0
573	413	568	398	-0,00003	17,07110	17,07107	9	0
125	524	124	505	0,00001	19,41420	19,41421	7	0
1017	476	999	473	0,00004	19,24260	19,24264	10	0
113	379	125	366	-0,00004	17,97060	17,97056	11	0
483	870	478	853	-0,00003	19,07110	19,07107	7	0
83	3	85	24	0,00003	21,82840	21,82843	5	1
901	546	911	530	0,00004	20,14210	20,14214	11	0
721	984	699	988	-0,00005	23,65690	23,65685	13	0
806	513	810	491	-0,00005	23,65690	23,65685	9	0
773	49	769	28	-0,00005	22,65690	22,65685	11	1
953	498	960	477	-0,00001	23,89950	23,89949	16	0
337	375	336	395	0,00001	20,41420	20,41421	7	0
581	781	568	799	-0,00002	23,38480	23,38478	14	0
502	845	480	845	0,00000	22,00000	22,00000	6	0
82	696	101	686	0,00004	23,14210	23,14214	11	0
233	880	207	883	0,00004	27,24260	27,24264	7	0
482	882	507	878	-0,00005	26,65690	26,65685	7	0
796	777	787	754	0,00002	26,72790	26,72792	20	1
686	526	706	542	0,00002	26,62740	26,62742	14	0
962	2	954	26	0,00001	27,31370	27,31371	13	2
352	712	374	722	0,00004	26,14210	26,14214	12	0
