type: sc1
name: TheFrozenSea
algorithm: jpsplus
preprossessing [ms]: 13451

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
954	787	958	784	0,00000	5,24264	5,24264	8	1
872	734	867	737	0,00000	6,24264	6,24264	12	0
768	277	767	283	0,00000	6,41421	6,41421	7	0
202	741	203	745	0,00000	4,41421	4,41421	7	0
542	487	539	483	0,00000	5,24264	5,24264	8	0
624	397	628	397	0,00000	4,00000	4,00000	7	0
523	45	527	42	0,00000	5,24264	5,24264	10	0
844	475	846	471	-0,00000	4,82843	4,82843	9	0
196	925	194	929	-0,00000	4,82843	4,82843	7	0
155	462	158	467	0,00000	6,24264	6,24264	8	0
473	589	478	583	-0,00000	8,07107	8,07107	9	0
389	862	388	873	0,00001	11,41420	11,41421	6	0
272	594	264	588	-0,00002	10,48530	10,48528	11	0
561	382	556	388	-0,00000	8,07107	8,07107	8	0
905	170	910	162	-0,00003	10,07110	10,07107	6	0
500	924	509	920	-0,00005	10,65690	10,65685	8	0
328	403	334	396	0,00000	9,48528	9,48528	8	0
6	794	12	799	-0,00000	8,07107	8,07107	5	0
869	739	875	733	0,00000	8,48528	8,48528	8	0
190	402	180	402	0,00000	10,00000	10,00000	6	0
167	867	156	859	0,00001	14,31370	14,31371	11	0
950	161	956	150	-0,00002	13,48530	13,48528	9	0
73	622	62	632	0,00002	15,72790	15,72792	12	0
437	733	426	741	0,00001	14,31370	14,31371	14	0
18	296	31	302	-0,00002	15,48530	15,48528	7	0
55	857	68	863	-0,00002	15,48530	15,48528	8	0
606	436	597	447	0,00002	14,72790	14,72792	13	0
945	1009	933	1004	-0,00003	14,07110	14,07107	11	0
610	318	623	311	-0,00001	15,89950	15,89949	11	0
820	796	832	800	-0,00005	13,65690	13,65685	10	0
54	293	37	295	0,00004	19,24260	19,24264	11	0
6	38	18	51	-0,00004	17,97060	17,97056	7	0
881	565	869	580	-0,00004	19,97060	19,97056	13	0
624	65	623	48	0,00001	17,41420	17,41421	8	0
900	157	889	171	0,00005	18,55630	18,55635	12	0
573	413	568	398	-0,00003	17,07110	17,07107	9	0
125	524	124	505	0,00001	19,41420	19,41421	7	0
1017	476	999	473	0,00004	19,24260	19,24264	10	0
113	379	125	366	-0,00004	17,97060	17,97056	11	0
483	870	478	853	-0,00003	19,07110	19,07107	7	0
83	3	85	24	0,00003	21,82840	21,82843	5	0
901	546	911	530	0,00004	20,14210	20,14214	11	0
721	984	699	988	-0,00005	23,65690	23,65685	13	0
806	513	810	491	-0,00005	23,65690	23,65685	9	0
773	49	769	28	-0,00005	22,65690	22,65685	11	0
953	498	960	477	-0,00001	23,89950	23,89949	16	0
337	375	336	395	0,00001	20,41420	20,41421	7	0
581	781	568	799	-0,00002	23,38480	23,38478	14	0
502	845	480	845	0,00000	22,00000	22,00000	6	0
82	696	101	686	0,00004	23,14210	23,14214	11	0
233	880	207	883	0,00004	27,24260	27,24264	7	0
482	882	507	878	-0,00005	26,65690	26,65685	7	0
796	777	787	754	0,00002	26,72790	26,72792	20	0
686	526	706	542	0,00002	26,62740	26,62742	14	0
962	2	954	26	0,00001	27,31370	27,31371	13	0
352	712	374	722	0,00004	26,14210	26,14214	12	0
977	962	956	950	-0,00004	25,97060	25,97056	12	0
129	499	129	525	0,00000	26,00000	26,00000	6	0
1016	473	1018	448	0,00003	25,82840	25,82843	6	0
131	212	135	186	-0,00005	27,65690	27,65685	9	0
428	1003	419	976	0,00002	30,72790	30,72792	18	0
73	182	66	203	0,00002	30,62740	30,62742	22	0
872	283	892	262	-0,00003	29,28430	29,28427	13	1
593	197	593	228	0,00000	31,00000	31,00000	6	0
935	648	961	641	-0,00001	28,89950	28,89949	10	0
952	17	969	41	0,00003	31,04160	31,04163	10	0
844	212	820	199	-0,00002	29,38480	29,38478	11	0
872	156	890	135	0,00004	28,45580	28,45584	9	0
740	485	760	466	0,00000	30,21320	30,21320	12	0
754	764	780	769	-0,00003	28,07110	28,07107	7	0
71	963	97	940	0,00001	35,52690	35,52691	14	0
138	708	157	684	-0,00003	35,28430	35,28427	19	0
1019	399	1009	368	0,00004	35,14210	35,14214	16	0
501	702	527	686	0,00002	32,62740	32,62742	9	0
438	417	408	430	-0,00002	35,38480	35,38478	18	0
296	229	279	257	0,00003	35,04160	35,04163	16	0
359	212	341	240	0,00004	35,45580	35,45584	19	0
160	891	167	921	-0,00001	32,89950	32,89949	12	0
105	545	127	568	-0,00000	32,11270	32,11270	9	0
595	201	618	175	0,00001	35,52690	35,52691	13	0
617	408	636	379	-0,00004	36,87010	36,87006	11	0
946	78	908	77	0,00001	38,41420	38,41421	8	0
451	203	468	233	0,00003	37,04160	37,04163	8	0
815	244	795	214	-0,00003	38,28430	38,28427	12	0
50	209	63	241	-0,00002	37,38480	37,38478	13	0
464	166	497	176	0,00004	37,14210	37,14214	13	0
259	483	230	458	0,00004	39,35530	39,35534	19	0
178	686	213	690	-0,00005	36,65690	36,65685	7	0
142	664	165	693	0,00001	38,52690	38,52691	13	0
230	253	239	287	0,00002	37,72790	37,72792	13	0
508	330	544	315	0,00000	42,21320	42,21320	9	0
427	209	395	188	-0,00002	40,69850	40,69848	26	0
427	736	451	704	0,00003	41,94110	41,94113	12	1
149	551	144	589	-0,00003	40,07110	40,07107	9	0
87	574	124	586	-0,00004	41,97060	41,97056	23	0
142	789	176	811	-0,00000	43,11270	43,11270	12	0
472	669	502	694	0,00004	40,35530	40,35534	17	0
572	418	560	380	-0,00004	42,97060	42,97056	19	0
447	955	410	966	0,00005	41,55630	41,55635	9	0
397	955	411	918	-0,00001	42,79900	42,79899	16	0
203	737	227	773	0,00003	45,94110	45,94113	13	0
223	116	216	71	-0,00001	47,89950	47,89949	16	0
472	933	494	968	-0,00000	44,11270	44,11270	21	0
659	911	697	935	0,00003	47,94110	47,94113	18	0
855	882	851	837	-0,00005	46,65690	46,65685	11	0
545	163	524	127	-0,00002	44,69850	44,69848	23	0
497	48	471	83	-0,00005	45,76960	45,76955	18	0
986	347	1006	310	-0,00003	45,28430	45,28427	18	0
1017	963	978	976	-0,00002	44,38480	44,38478	5	0
679	571	690	612	0,00005	45,55630	45,55635	15	0
349	53	303	66	-0,00002	51,38480	51,38478	9	0
137	460	91	470	0,00004	50,14210	50,14214	29	0
914	355	926	400	-0,00004	49,97060	49,97056	12	0
472	750	498	781	0,00004	51,14210	51,14214	25	0
353	994	398	978	0,00002	51,62740	51,62742	13	0
500	136	463	103	0,00005	50,66900	50,66905	20	0
599	663	595	640	-0,00002	48,69850	48,69848	48	1
409	294	406	341	0,00004	48,24260	48,24264	8	0
847	21	803	7	-0,00001	49,79900	49,79899	27	0
428	867	387	890	0,00001	50,52690	50,52691	24	0
686	174	657	134	-0,00001	52,01220	52,01219	25	0
817	370	798	417	-0,00004	54,87010	54,87006	24	0
901	161	851	152	0,00002	53,72790	53,72792	17	0
408	939	452	963	0,00003	53,94110	53,94113	16	0
340	525	322	563	-0,00001	55,01220	55,01219	37	0
352	570	301	567	0,00004	52,24260	52,24264	14	0
158	328	109	318	0,00004	53,14210	53,14214	28	0
778	602	773	553	0,00000	55,21320	55,21320	20	0
374	199	327	212	-0,00002	52,38480	52,38478	23	0
752	908	703	924	0,00002	55,62740	55,62742	21	0
637	475	607	521	0,00001	58,42640	58,42641	25	0
525	863	573	842	-0,00002	56,69850	56,69848	20	0
651	871	595	872	0,00003	57,82840	57,82843	14	0
577	843	537	802	0,00004	57,56850	57,56854	28	0
151	196	193	157	0,00003	58,15430	58,15433	22	0
