type: sc1
name: TheHighway
algorithm: jpsplus
preprossessing [ms]: 3521

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
402	138	408	138	0,00000	6,00000	6,00000	5	0
649	103	652	109	0,00000	7,24264	7,24264	9	0
505	439	500	443	0,00000	6,65685	6,65685	7	0
110	124	105	120	0,00000	6,65685	6,65685	10	0
125	391	121	389	-0,00000	4,82843	4,82843	6	0
232	242	227	240	-0,00000	5,82843	5,82843	6	0
202	279	204	283	-0,00000	4,82843	4,82843	8	0
638	219	634	224	0,00000	6,65685	6,65685	7	0
415	329	420	332	0,00000	6,24264	6,24264	7	0
190	264	195	262	-0,00000	5,82843	5,82843	7	0
227	177	218	170	-0,00001	11,89950	11,89949	12	0
366	49	369	56	0,00000	8,24264	8,24264	7	0
206	160	216	160	0,00000	10,00000	10,00000	6	0
228	227	236	220	-0,00001	10,89950	10,89949	8	0
492	173	485	177	0,00000	8,65685	8,65685	9	0
629	449	626	459	0,00004	11,24260	11,24264	8	0
403	500	412	496	-0,00005	10,65690	10,65685	8	0
199	499	197	491	-0,00000	8,82843	8,82843	9	0
345	364	335	366	0,00003	10,82840	10,82843	8	0
519	239	511	240	0,00000	8,41421	8,41421	9	0
679	104	675	118	-0,00005	15,65690	15,65685	12	0
194	392	208	393	0,00001	14,41420	14,41421	7	0
63	75	57	64	-0,00002	13,48530	13,48528	11	0
312	206	305	194	-0,00001	14,89950	14,89949	12	0
576	492	565	484	0,00001	14,31370	14,31371	10	0
144	229	132	222	-0,00001	14,89950	14,89949	13	0
421	220	428	210	-0,00001	12,89950	12,89949	14	0
250	140	261	150	0,00004	15,14210	15,14214	7	0
453	288	449	277	-0,00005	12,65690	12,65685	11	0
410	247	401	235	0,00002	15,72790	15,72792	16	0
429	345	414	340	-0,00003	17,07110	17,07107	10	0
719	479	705	490	0,00005	18,55630	18,55635	8	0
544	335	539	350	-0,00003	17,07110	17,07107	7	0
215	488	231	479	0,00002	19,72790	19,72792	9	0
262	209	277	206	0,00004	16,24260	16,24264	8	0
711	87	696	95	0,00001	18,31370	18,31371	14	0
665	201	656	217	0,00002	19,72790	19,72792	13	0
75	295	62	308	-0,00002	18,38480	18,38478	4	0
208	480	199	495	0,00002	18,72790	18,72792	9	0
423	391	433	377	0,00002	18,72790	18,72792	16	0
658	455	654	475	-0,00005	21,65690	21,65685	11	0
33	368	50	376	0,00001	20,31370	20,31371	9	0
307	309	307	331	0,00000	22,00000	22,00000	6	0
79	403	66	419	-0,00002	21,38480	21,38478	10	0
750	92	748	71	0,00003	21,82840	21,82843	7	0
19	48	16	26	0,00004	23,24260	23,24264	7	1
495	231	507	247	-0,00004	20,97060	20,97056	9	0
414	19	394	18	0,00001	20,41420	20,41421	8	0
739	99	739	79	0,00000	20,00000	20,00000	5	0
278	199	286	219	0,00001	23,31370	23,31371	9	0
368	479	341	479	0,00000	27,00000	27,00000	7	0
519	17	497	23	-0,00002	24,48530	24,48528	8	0
738	406	714	407	0,00001	24,41420	24,41421	8	0
207	16	231	13	0,00004	25,24260	25,24264	7	0
660	446	640	461	0,00000	26,21320	26,21320	19	0
90	101	115	103	0,00003	25,82840	25,82843	7	0
466	375	489	380	-0,00003	25,07110	25,07107	8	0
525	433	501	427	-0,00002	26,48530	26,48528	8	0
538	146	532	124	-0,00002	24,48530	24,48528	18	0
753	183	763	203	0,00004	24,14210	24,14214	5	0
329	503	332	475	0,00004	29,24260	29,24264	6	0
589	464	604	488	0,00000	30,21320	30,21320	9	0
310	42	295	67	0,00000	31,21320	31,21320	13	0
736	194	730	168	-0,00002	28,48530	28,48528	6	0
548	135	552	162	-0,00005	28,65690	28,65685	10	0
223	26	205	3	0,00004	30,45580	30,45584	18	0
708	123	687	103	-0,00003	29,28430	29,28427	19	0
602	370	585	348	0,00003	29,04160	29,04163	20	0
676	89	664	115	-0,00004	30,97060	30,97056	19	0
255	70	247	42	0,00001	31,31370	31,31371	13	0
212	213	240	203	0,00004	32,14210	32,14214	19	0
441	151	420	177	-0,00002	34,69850	34,69848	9	0
409	479	386	457	-0,00000	32,11270	32,11270	22	0
375	441	351	463	-0,00000	33,11270	33,11270	21	0
30	383	53	408	0,00001	34,52690	34,52691	9	0
556	414	591	412	0,00003	35,82840	35,82843	7	0
253	279	221	277	0,00003	32,82840	32,82843	9	0
409	235	383	218	0,00003	33,04160	33,04163	27	0
267	334	297	324	0,00004	34,14210	34,14214	8	0
508	50	478	39	0,00005	34,55630	34,55635	9	1
330	56	364	67	0,00005	38,55630	38,55635	15	0
151	18	187	21	0,00004	37,24260	37,24264	7	0
332	76	307	48	0,00004	38,35530	38,35534	16	0
45	89	59	122	-0,00001	38,79900	38,79899	9	0
685	94	722	94	0,00000	37,00000	37,00000	10	0
295	151	283	183	-0,00004	36,97060	36,97056	14	0
744	426	707	422	-0,00005	38,65690	38,65685	13	0
416	447	421	413	-0,00001	36,89950	36,89949	15	0
505	461	525	431	0,00004	39,45580	39,45584	22	0
682	78	708	104	-0,00005	36,76960	36,76955	12	0
424	473	385	479	-0,00002	41,48530	41,48528	13	0
133	22	171	30	0,00001	41,31370	41,31371	8	0
327	63	288	56	-0,00001	41,89950	41,89949	11	0
68	376	34	358	0,00004	41,45580	41,45584	9	0
330	365	357	336	0,00004	41,35530	41,35534	23	0
514	351	556	349	0,00003	42,82840	42,82843	9	0
526	454	545	489	-0,00004	42,87010	42,87006	9	0
465	181	429	195	-0,00001	41,79900	41,79899	18	0
240	44	255	7	0,00000	43,21320	43,21320	9	0
694	502	733	495	-0,00001	41,89950	41,89949	6	0
496	86	454	96	0,00004	46,14210	46,14214	17	0
230	279	186	280	0,00001	44,41420	44,41421	7	0
276	68	286	26	0,00004	46,14210	46,14214	16	0
622	339	581	330	0,00002	44,72790	44,72792	7	0
263	130	298	154	0,00003	44,94110	44,94113	8	0
232	341	267	318	0,00001	44,52690	44,52691	12	0
303	49	284	86	-0,00004	44,87010	44,87006	15	0
476	242	441	220	-0,00000	44,11270	44,11270	27	0
553	311	578	346	0,00004	45,35530	45,35534	9	0
761	225	745	264	0,00002	45,62740	45,62742	11	0
726	506	680	494	-0,00004	50,97060	50,97056	7	0
494	160	527	127	-0,00002	49,59800	49,59798	26	0
296	97	334	123	-0,00005	48,76960	48,76955	9	0
123	480	109	437	-0,00001	48,79900	48,79899	28	0
540	241	497	221	-0,00003	51,28430	51,28427	29	0
664	65	674	112	0,00004	51,14210	51,14214	14	0
222	8	252	47	0,00001	51,42640	51,42641	9	0
458	278	508	280	0,00003	50,82840	50,82843	9	0
748	103	707	123	-0,00003	49,28430	49,28427	23	0
110	212	63	216	-0,00005	48,65690	48,65685	7	0
56	104	6	95	0,00002	53,72790	53,72792	8	0
686	353	703	401	0,00003	55,04160	55,04163	11	0
738	60	739	114	0,00001	54,41420	54,41421	7	0
379	456	325	458	0,00003	54,82840	54,82843	8	0
378	330	427	346	0,00002	55,62740	55,62742	17	0
577	416	527	405	0,00005	54,55630	54,55635	19	0
357	364	367	313	0,00004	55,14210	55,14214	19	0
133	474	167	436	-0,00004	52,08330	52,08326	30	0
143	107	93	93	-0,00001	55,79900	55,79899	14	0
9	403	31	359	-0,00000	53,11270	53,11270	14	0
267	331	212	343	-0,00004	59,97060	59,97056	12	0
366	62	322	98	-0,00001	58,91170	58,91169	26	0
158	47	116	10	-0,00001	57,91170	57,91169	32	0
516	380	531	330	0,00000	56,21320	56,21320	15	0
568	456	602	498	-0,00004	56,08330	56,08326	9	0
245	377	290	352	-0,00005	56,76960	56,76955	31	0
311	472	264	446	-0,00005	57,76960	57,76955	28	0
543	244	488	236	0,00001	58,31370	58,31371	20	0
483	240	532	263	0,00001	58,52690	58,52691	27	1
411	439	414	383	0,00004	57,24260	57,24264	7	0
612	206	557	221	0,00000	61,21320	61,21320	18	0
281	58	327	21	0,00000	61,32590	61,32590	17	0
19	83	77	95	-0,00004	62,97060	62,97056	9	0
249	372	192	371	0,00002	60,72790	60,72792	30	0
500	194	527	243	-0,00003	60,18380	60,18377	13	0
12	138	20	79	0,00001	62,31370	62,31371	10	0
173	138	125	104	-0,00004	62,08330	62,08326	31	0
531	83	591	88	-0,00002	63,48530	63,48528	14	0
457	29	406	54	0,00004	61,35530	61,35534	17	0
478	223	424	203	-0,00003	62,28430	62,28427	34	0
106	321	165	300	-0,00002	67,69850	67,69848	18	0
107	81	60	124	-0,00002	64,81120	64,81118	9	0
225	143	172	173	0,00001	65,42640	65,42641	33	0
301	1	365	8	-0,00001	66,89950	66,89949	13	0
92	217	38	246	-0,00001	66,01220	66,01219	16	0
86	115	138	144	-0,00002	66,59800	66,59798	29	0
750	414	753	477	0,00004	64,24260	64,24264	9	0
327	389	375	344	0,00001	66,63960	66,63961	23	0
