type: sc1
name: Tribes
algorithm: jpsplus
preprossessing [ms]: 4145

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
534	362	535	355	0,00000	7,41421	7,41421	9	0
715	228	716	223	0,00000	5,41421	5,41421	7	0
37	296	40	295	0,00000	4,00000	4,00000	6	0
412	568	406	569	0,00000	6,41421	6,41421	7	0
142	21	146	22	0,00000	4,41421	4,41421	8	0
503	22	496	22	0,00000	7,00000	7,00000	5	0
106	598	108	592	-0,00000	6,82843	6,82843	7	0
306	750	301	753	0,00000	6,24264	6,24264	7	0
701	396	701	389	0,00000	7,00000	7,00000	6	0
555	503	551	499	0,00000	5,65685	5,65685	5	0
29	323	40	322	0,00001	11,41420	11,41421	7	0
227	573	223	566	0,00000	8,65685	8,65685	9	0
96	723	106	720	0,00004	11,24260	11,24264	7	0
410	650	411	661	0,00001	11,41420	11,41421	7	0
430	529	422	525	0,00000	9,65685	9,65685	9	0
206	456	200	448	-0,00002	10,48530	10,48528	8	0
374	277	372	288	0,00003	11,82840	11,82843	10	0
469	198	475	205	0,00000	9,48528	9,48528	8	0
198	552	192	545	0,00000	9,48528	9,48528	7	0
27	509	22	516	-0,00000	9,07107	9,07107	7	0
40	106	39	93	0,00001	13,41420	13,41421	8	0
276	255	283	243	-0,00001	14,89950	14,89949	8	0
226	443	240	440	0,00004	15,24260	15,24264	7	0
355	136	360	123	-0,00003	15,07110	15,07107	10	0
18	235	19	249	0,00001	14,41420	14,41421	6	0
73	592	86	597	-0,00003	15,07110	15,07107	7	0
155	370	156	356	0,00001	14,41420	14,41421	7	0
239	219	246	230	-0,00001	13,89950	13,89949	8	0
721	567	709	570	0,00004	13,24260	13,24264	7	0
717	658	718	645	0,00001	13,41420	13,41421	6	0
544	376	538	361	-0,00002	17,48530	17,48528	7	0
687	599	702	592	-0,00001	17,89950	17,89949	7	0
89	149	76	158	0,00002	16,72790	16,72792	10	0
550	337	542	324	0,00001	16,31370	16,31371	7	0
209	226	213	211	-0,00005	16,65690	16,65685	7	0
481	259	479	242	0,00003	17,82840	17,82843	7	0
29	405	24	388	-0,00003	19,07110	19,07107	7	0
670	692	667	675	0,00004	18,24260	18,24264	7	0
735	580	720	573	-0,00001	17,89950	17,89949	10	0
396	663	414	660	0,00004	19,24260	19,24264	8	0
758	427	756	449	0,00003	22,82840	22,82843	5	0
648	68	668	67	0,00001	20,41420	20,41421	7	0
34	574	55	578	-0,00005	22,65690	22,65685	7	0
330	203	336	182	-0,00002	23,48530	23,48528	9	0
351	361	343	380	0,00001	22,31370	22,31371	13	0
332	276	340	256	0,00001	23,31370	23,31371	13	0
393	52	412	44	0,00001	22,31370	22,31371	7	0
25	272	41	283	0,00002	21,72790	21,72792	13	0
533	237	517	250	-0,00002	21,38480	21,38478	11	0
360	276	346	258	-0,00001	23,79900	23,79899	23	0
238	324	260	317	-0,00001	24,89950	24,89949	8	0
692	601	719	603	0,00003	27,82840	27,82843	7	0
544	559	528	539	0,00002	26,62740	26,62742	30	1
604	65	598	87	-0,00002	24,48530	24,48528	13	0
107	612	80	614	0,00003	27,82840	27,82843	7	0
382	353	407	349	-0,00005	26,65690	26,65685	9	0
555	11	576	3	0,00001	24,31370	24,31371	6	0
23	348	32	325	0,00002	26,72790	26,72792	10	0
179	370	201	362	0,00001	25,31370	25,31371	13	0
48	273	43	249	-0,00003	26,07110	26,07107	13	0
235	335	249	312	-0,00001	28,79900	28,79899	11	0
114	640	138	654	-0,00001	29,79900	29,79899	13	0
598	588	621	571	0,00003	30,04160	30,04163	11	0
313	509	287	495	-0,00001	31,79900	31,79899	11	0
656	65	687	67	0,00003	31,82840	31,82843	10	0
546	287	563	310	0,00003	30,04160	30,04163	12	0
382	330	398	353	0,00002	29,62740	29,62742	7	0
741	262	715	256	-0,00002	28,48530	28,48528	7	0
534	568	522	541	-0,00004	31,97060	31,97056	21	0
673	665	648	655	0,00004	29,14210	29,14214	7	0
157	547	133	569	-0,00000	33,11270	33,11270	9	0
171	18	167	51	-0,00005	34,65690	34,65685	9	0
711	494	718	523	-0,00002	32,48530	32,48528	11	0
658	407	651	376	-0,00001	33,89950	33,89949	10	0
43	559	50	529	-0,00001	32,89950	32,89949	9	0
30	351	37	321	-0,00001	32,89950	32,89949	7	0
425	313	421	280	-0,00005	34,65690	34,65685	10	0
392	341	399	311	-0,00001	32,89950	32,89949	10	0
355	408	362	375	-0,00001	35,89950	35,89949	18	0
366	579	379	606	-0,00002	32,38480	32,38478	7	0
260	505	234	533	-0,00005	38,76960	38,76955	7	0
460	227	465	261	-0,00003	36,07110	36,07107	9	0
612	531	595	563	0,00003	39,04160	39,04163	21	0
419	325	395	295	0,00003	39,94110	39,94113	16	0
342	374	313	352	-0,00000	38,11270	38,11270	21	0
380	534	359	506	-0,00002	36,69850	36,69848	9	0
604	550	639	556	-0,00002	37,48530	37,48528	8	0
29	151	2	174	-0,00002	37,69850	37,69848	14	0
536	364	536	401	0,00000	37,00000	37,00000	8	0
42	369	11	355	-0,00001	36,79900	36,79899	13	0
610	378	567	379	0,00001	43,41420	43,41421	7	0
399	16	407	55	0,00001	42,31370	42,31371	12	0
481	290	470	251	0,00005	43,55630	43,55635	17	0
568	416	528	407	0,00002	43,72790	43,72792	21	0
302	277	263	269	0,00001	42,31370	42,31371	13	0
226	486	194	512	-0,00005	42,76960	42,76955	11	0
719	409	732	371	-0,00002	43,38480	43,38478	15	0
104	641	140	653	-0,00004	40,97060	40,97056	14	0
307	187	327	219	-0,00003	40,28430	40,28427	11	0
711	610	702	648	0,00002	41,72790	41,72792	12	0
527	205	514	245	-0,00002	45,38480	45,38478	12	0
213	439	257	445	-0,00002	46,48530	46,48528	9	0
395	167	434	185	0,00004	46,45580	46,45584	11	0
194	197	211	234	0,00003	44,04160	44,04163	13	0
201	463	241	479	0,00002	46,62740	46,62742	8	0
320	749	316	703	-0,00005	47,65690	47,65685	8	0
68	405	30	422	0,00003	45,04160	45,04163	6	0
235	278	231	321	-0,00005	44,65690	44,65685	8	0
26	355	66	368	-0,00002	45,38480	45,38478	7	0
387	68	380	26	-0,00001	44,89950	44,89949	7	0
207	509	220	552	-0,00002	48,38480	48,38478	11	0
49	370	4	380	0,00004	49,14210	49,14214	13	0
508	302	470	274	-0,00002	49,59800	49,59798	35	0
593	169	546	172	0,00004	48,24260	48,24264	7	0
187	204	201	160	-0,00001	49,79900	49,79899	17	0
88	147	62	106	-0,00005	51,76960	51,76955	13	0
285	237	247	263	-0,00005	48,76960	48,76955	13	0
404	684	426	643	-0,00000	50,11270	50,11270	13	0
95	666	136	686	-0,00003	49,28430	49,28427	13	0
281	244	322	262	0,00004	48,45580	48,45584	9	0
369	467	415	451	0,00002	52,62740	52,62742	12	0
244	709	275	750	0,00002	53,84060	53,84062	16	0
559	204	609	193	0,00005	54,55630	54,55635	5	0
459	223	439	270	-0,00003	55,28430	55,28427	15	0
277	231	233	209	-0,00000	53,11270	53,11270	27	0
394	701	357	663	0,00000	53,32590	53,32590	21	0
707	168	699	218	0,00001	53,31370	53,31371	15	0
407	201	419	153	0,00005	53,55630	53,55635	21	0
257	749	281	704	0,00003	54,94110	54,94113	14	0
62	87	91	127	-0,00001	52,01220	52,01219	7	0
637	85	692	93	0,00001	58,31370	58,31371	9	0
520	310	575	314	-0,00005	56,65690	56,65685	7	0
525	414	479	396	0,00005	59,55630	59,55635	49	0
148	410	134	358	-0,00001	57,79900	57,79899	17	0
580	220	528	234	-0,00001	57,79900	57,79899	12	0
207	487	235	439	-0,00002	59,59800	59,59798	19	0
4	328	58	321	-0,00001	56,89950	56,89949	8	0
527	311	484	277	-0,00004	57,08330	57,08326	34	0
532	274	572	314	0,00004	56,56850	56,56854	12	0
429	539	400	584	-0,00001	57,01220	57,01219	27	0
403	583	348	566	0,00003	62,04160	62,04163	15	0
274	550	319	576	0,00003	61,04160	61,04163	26	0
33	512	19	456	-0,00001	61,79900	61,79899	11	0
410	360	356	376	0,00002	60,62740	60,62742	30	0
572	572	605	619	0,00005	60,66900	60,66905	8	0
766	397	740	447	-0,00005	60,76960	60,76955	31	0
421	565	405	619	0,00002	60,62740	60,62742	13	0
285	511	256	462	-0,00001	61,01220	61,01219	23	0
458	242	414	284	-0,00003	61,39700	61,39697	32	0
497	425	533	474	-0,00001	63,91170	63,91169	20	1
474	14	427	56	-0,00003	64,39700	64,39697	22	0
476	553	525	508	0,00001	67,63960	67,63961	16	0
308	749	361	713	-0,00001	67,91170	67,91169	14	0
393	469	389	406	-0,00005	64,65690	64,65685	11	0
142	23	204	16	-0,00001	64,89950	64,89949	22	0
610	538	611	604	0,00001	66,41420	66,41421	8	0
125	48	191	45	0,00004	67,24260	67,24264	9	0
129	678	106	620	0,00001	67,52690	67,52691	21	0
158	611	104	642	0,00002	66,84060	66,84062	21	0
371	464	422	500	-0,00001	65,91170	65,91169	11	0
88	679	106	742	0,00004	70,45580	70,45584	24	0
365	367	391	418	0,00001	71,42640	71,42641	36	0
731	654	664	642	-0,00004	71,97060	71,97056	21	0
404	568	450	516	0,00002	71,05380	71,05382	24	0
227	299	233	365	-0,00002	68,48530	68,48528	13	0
193	495	245	449	0,00002	71,05380	71,05382	26	0
12	179	1	245	0,00005	70,55630	70,55635	6	0
322	262	275	212	0,00004	69,46800	69,46804	28	0
471	215	424	256	0,00002	69,84060	69,84062	16	0
237	507	304	518	0,00005	71,55630	71,55635	13	0
377	25	429	75	-0,00002	72,71070	72,71068	15	0
296	247	244	194	0,00001	74,53910	74,53911	38	0
474	12	402	20	0,00001	75,31370	75,31371	18	0
585	306	560	251	0,00004	74,56850	74,56854	64	0
499	523	537	466	0,00002	72,74010	72,74012	19	0
241	505	235	576	-0,00002	73,48530	73,48528	7	0
334	733	393	700	0,00005	72,66900	72,66905	23	0
424	518	436	588	-0,00004	74,97060	74,97056	12	0
564	370	600	321	-0,00000	72,11270	72,11270	40	0
113	665	47	646	-0,00004	73,87010	73,87006	13	0
707	156	655	100	0,00001	77,53910	77,53911	18	0
489	434	562	445	0,00005	77,55630	77,55635	15	0
76	633	136	591	-0,00003	77,39700	77,39697	19	0
68	163	131	175	0,00002	78,74010	78,74012	19	0
396	336	378	265	0,00004	78,45580	78,45584	16	0
493	254	425	282	-0,00002	79,59800	79,59798	31	0
345	695	413	675	-0,00003	76,28430	76,28427	16	0
630	391	701	373	0,00004	78,45580	78,45584	9	0
132	598	192	552	0,00002	79,05380	79,05382	16	0
521	304	483	354	0,00003	78,04160	78,04163	25	0
35	463	47	539	-0,00004	80,97060	80,97056	11	0
363	656	373	578	0,00004	82,14210	82,14214	12	0
738	154	658	158	-0,00005	81,65690	81,65685	11	0
624	83	673	143	-0,00004	80,29650	80,29646	10	0
421	558	356	528	0,00004	80,35530	80,35534	35	0
740	503	696	560	0,00005	81,66900	81,66905	21	0
369	696	375	617	-0,00002	81,48530	81,48528	8	0
411	464	432	538	-0,00002	82,69850	82,69848	25	0
629	409	551	416	-0,00001	80,89950	80,89949	22	0
617	599	546	570	-0,00001	83,01220	83,01219	29	0
360	400	408	466	0,00004	86,46800	86,46804	26	0
223	233	270	301	0,00004	87,46800	87,46804	25	0
286	509	223	563	0,00003	85,36750	85,36753	10	0
372	492	325	560	0,00004	87,46800	87,46804	14	0
332	248	256	222	-0,00005	86,76960	86,76955	25	0
274	350	280	269	0,00004	85,14210	85,14214	37	0
432	302	358	276	-0,00005	84,76960	84,76955	35	0
493	244	518	319	0,00004	85,35530	85,35534	11	0
397	284	382	365	0,00000	87,21320	87,21320	24	0
126	628	46	638	0,00004	84,14210	84,14214	22	0
545	258	547	347	0,00003	89,82840	89,82843	7	0
157	31	141	113	0,00002	88,62740	88,62742	15	0
423	58	353	102	-0,00000	88,22540	88,22540	19	0
285	471	247	545	0,00002	89,74010	89,74012	17	0
171	551	250	529	-0,00000	88,11270	88,11270	12	0
555	317	536	236	-0,00004	88,87010	88,87006	30	0
358	203	281	233	0,00003	90,25480	90,25483	39	0
354	401	406	332	-0,00002	91,71070	91,71068	39	0
400	565	413	651	-0,00002	91,38480	91,38478	8	0
357	294	439	315	-0,00002	90,69850	90,69848	22	0
121	76	147	161	-0,00005	95,76960	95,76955	14	0
586	76	668	98	0,00001	92,52690	92,52691	12	0
8	510	2	442	-0,00003	92,28430	92,28427	24	0
721	161	651	106	0,00005	92,78170	92,78175	25	0
63	305	1	238	0,00004	92,68120	92,68124	33	0
243	717	163	679	0,00002	95,74010	95,74012	57	1
449	700	423	615	-0,00005	95,76960	95,76955	41	0
378	365	299	404	0,00003	95,15430	95,15433	45	0
397	412	412	501	0,00000	95,21320	95,21320	21	0
553	383	538	296	0,00000	93,21320	93,21320	17	0
10	373	100	395	-0,00000	99,11270	99,11270	12	0
426	617	366	689	0,00001	96,85280	96,85281	23	0
45	628	43	532	0,00003	96,82840	96,82843	12	0
327	232	400	291	0,00000	97,43860	97,43860	25	0
330	226	359	148	-0,00001	99,12490	99,12489	58	0
311	547	392	506	-0,00004	97,98280	97,98276	18	0
321	253	399	301	0,00005	97,88220	97,88225	16	0
41	552	43	457	-0,00005	96,65690	96,65685	16	0
185	390	223	474	0,00002	99,74010	99,74012	12	0
429	96	424	2	-0,00003	96,07110	96,07107	6	0
267	310	320	229	0,00032	102,95300	102,95332	23	0
212	507	310	521	-0,00001	103,79900	103,79899	11	0
358	534	256	532	0,00043	102,82800	102,82843	7	0
403	408	400	510	-0,00036	103,24300	103,24264	12	0
515	415	433	363	0,00011	103,53900	103,53911	62	0
238	493	164	564	0,00016	103,40900	103,40916	10	0
668	378	576	405	-0,00023	103,18400	103,18377	11	0
486	414	539	493	0,00032	100,95300	100,95332	23	0
456	519	393	593	0,00045	100,09500	100,09545	34	0
275	555	180	575	0,00027	103,28400	103,28427	16	0
419	267	362	348	-0,00004	105,19600	105,19596	49	1
370	347	384	248	-0,00001	104,79900	104,79899	19	0
98	626	173	553	-0,00041	105,23800	105,23759	25	0
204	261	305	274	-0,00022	106,38500	106,38478	13	0
404	146	451	60	0,00004	105,46800	105,46804	32	0
477	233	391	281	0,00025	105,88200	105,88225	37	0
476	530	575	549	0,00006	106,87000	106,87006	9	0
280	259	214	338	0,00010	106,33800	106,33810	34	0
570	285	527	375	0,00018	107,81100	107,81118	46	0
464	192	384	142	0,00018	104,81100	104,81118	49	0
650	649	627	749	-0,00009	109,52700	109,52691	20	0
727	227	663	145	-0,00033	108,51000	108,50967	29	0
606	584	709	567	-0,00037	110,04200	110,04163	22	0
109	124	188	199	0,00002	110,06600	110,06602	10	0
483	721	376	728	0,00049	109,89900	109,89949	17	0
372	468	320	558	0,00011	111,53900	111,53911	21	0
422	369	409	473	-0,00022	109,38500	109,38478	24	0
360	463	288	508	0,00047	110,49700	110,49747	23	0
42	108	131	60	0,00025	108,88200	108,88225	19	0
390	164	385	58	0,00007	108,07100	108,07107	7	0
350	506	255	552	-0,00018	114,05400	114,05382	11	0
350	369	374	468	-0,00046	115,56900	115,56854	36	1
398	469	467	385	-0,00026	112,58100	112,58074	28	0
335	501	390	580	-0,00010	112,32600	112,32590	34	0
623	52	524	17	0,00047	113,49700	113,49747	44	0
631	166	529	197	-0,00038	114,84100	114,84062	15	0
692	644	627	732	-0,00012	114,92400	114,92388	17	0
142	698	47	653	-0,00039	113,64000	113,63961	62	0
746	146	656	86	-0,00019	114,85300	114,85281	52	0
740	399	716	503	0,00013	113,94100	113,94113	42	0
379	87	456	1	0,00023	118,48000	118,48023	15	0
155	155	41	159	-0,00001	119,79900	119,79899	28	0
191	170	273	255	-0,00049	118,96600	118,96551	29	0
415	393	517	427	0,00026	116,08300	116,08326	26	0
226	553	126	598	-0,00039	118,64000	118,63961	15	0
393	268	501	243	0,00034	118,35500	118,35534	30	0
31	199	49	310	-0,00016	118,45600	118,45584	19	0
336	13	446	31	-0,00016	117,45600	117,45584	17	0
646	600	560	522	-0,00034	118,30900	118,30866	73	0
375	669	435	761	-0,00019	116,85300	116,85281	13	0
442	509	410	406	-0,00009	121,52700	121,52691	56	0
545	563	652	602	0,00033	123,15400	123,15433	14	0
114	73	191	164	0,00044	122,89400	122,89444	11	0
118	623	215	559	-0,00033	123,51000	123,50967	26	0
518	297	456	377	-0,00010	120,32600	120,32590	62	0
374	647	293	723	0,00039	123,02400	123,02439	40	0
420	714	528	746	-0,00017	121,25500	121,25483	30	0
288	389	389	337	0,00011	122,53900	122,53911	35	0
522	416	511	304	-0,00009	121,52700	121,52691	55	0
314	359	211	315	0,00040	121,22500	121,22540	44	0
346	200	382	87	-0,00031	127,91200	127,91169	30	0
106	74	55	178	-0,00011	125,12500	125,12489	19	0
464	527	416	632	0,00025	124,88200	124,88225	35	0
354	114	456	53	0,00003	127,26700	127,26703	16	0
451	363	390	462	0,00003	124,26700	124,26703	49	0
636	685	580	599	0,00016	124,40900	124,40916	60	1
207	227	314	270	0,00018	124,81100	124,81118	28	0
611	625	515	550	0,00002	127,06600	127,06602	65	0
419	287	449	374	-0,00032	127,71100	127,71068	52	0
