type: sc1
name: Triskelion
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
248	24	254	20	0,00000	7,65685	7,65685	53	0
412	474	416	471	0,00000	5,24264	5,24264	36	0
383	393	390	395	-0,00000	7,82843	7,82843	57	0
460	355	460	348	0,00000	7,00000	7,00000	51	0
404	379	408	377	-0,00000	4,82843	4,82843	33	0
267	483	274	482	0,00000	7,41421	7,41421	51	0
359	111	353	114	0,00000	7,24264	7,24264	39	0
154	372	149	375	0,00000	6,24264	6,24264	43	0
199	341	194	341	0,00000	5,00000	5,00000	37	0
353	340	349	341	0,00000	4,41421	4,41421	30	0
286	438	291	444	-0,00000	8,07107	8,07107	44	0
374	455	378	465	-0,00005	11,65690	11,65685	104	0
401	235	408	231	0,00000	8,65685	8,65685	70	0
307	144	303	135	-0,00005	10,65690	10,65685	86	0
336	467	327	470	0,00004	10,24260	10,24264	90	0
90	417	98	411	-0,00002	10,48530	10,48528	82	0
458	8	463	17	-0,00003	11,07110	11,07107	90	0
37	44	37	52	0,00000	8,00000	8,00000	58	0
109	243	99	247	-0,00005	11,65690	11,65685	103	0
467	365	471	360	0,00000	8,41421	8,41421	26	0
296	449	308	448	0,00001	12,41420	12,41421	86	0
231	435	242	429	-0,00002	13,48530	13,48528	127	0
322	152	309	153	0,00001	13,41420	13,41421	93	0
78	84	63	83	0,00001	15,41420	15,41421	107	0
29	198	23	209	-0,00002	13,48530	13,48528	127	0
405	501	416	498	0,00004	12,24260	12,24264	110	0
497	76	485	82	-0,00002	14,48530	14,48528	135	0
30	38	39	29	0,00002	12,72790	12,72792	65	0
19	395	10	405	0,00002	13,72790	13,72792	96	0
81	420	71	412	0,00001	13,31370	13,31371	111	0
454	14	436	18	-0,00005	19,65690	19,65685	201	0
97	64	80	58	-0,00002	19,48530	19,48528	216	0
313	180	319	166	-0,00002	16,48530	16,48528	161	0
321	167	315	184	-0,00002	19,48530	19,48528	216	1
367	476	383	478	0,00003	16,82840	16,82843	151	0
440	113	425	105	0,00001	18,31370	18,31371	195	0
96	489	90	505	-0,00003	19,07110	19,07107	171	0
111	233	96	242	0,00002	18,72790	18,72792	192	0
420	246	406	254	0,00001	17,31370	17,31371	176	0
221	452	239	449	0,00004	19,24260	19,24264	184	0
316	454	320	436	0,00004	20,24260	20,24264	240	0
11	60	6	81	-0,00003	23,07110	23,07107	237	0
114	206	131	217	0,00005	21,55630	21,55635	218	0
295	81	311	91	0,00004	20,14210	20,14214	212	0
396	48	381	63	0,00000	21,21320	21,21320	107	0
