type: sc1
name: Turbo
algorithm: jpsplus
preprossessing [ms]: 4428

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
39	746	43	741	0,00000	6,65685	6,65685	7	0
73	596	79	592	0,00000	7,65685	7,65685	7	0
611	380	605	378	-0,00000	6,82843	6,82843	9	0
99	61	95	66	0,00000	6,65685	6,65685	6	0
538	10	543	11	0,00000	5,41421	5,41421	6	0
81	538	81	542	0,00000	4,00000	4,00000	6	0
291	507	294	502	0,00000	6,24264	6,24264	7	0
203	157	210	157	0,00000	7,00000	7,00000	6	0
317	424	320	418	0,00000	7,24264	7,24264	10	0
375	158	370	156	-0,00000	5,82843	5,82843	7	0
236	686	227	679	-0,00001	11,89950	11,89949	9	0
739	372	743	381	-0,00005	10,65690	10,65685	7	0
401	684	400	676	0,00000	8,41421	8,41421	7	0
591	82	583	77	-0,00003	10,07110	10,07107	9	0
555	22	549	16	0,00000	8,48528	8,48528	8	0
342	335	349	339	0,00000	8,65685	8,65685	8	0
694	391	686	392	0,00000	8,41421	8,41421	9	0
208	120	200	119	0,00000	8,41421	8,41421	7	0
52	153	51	145	0,00000	8,41421	8,41421	9	0
630	174	623	180	0,00000	9,48528	9,48528	10	0
431	441	418	437	-0,00005	14,65690	14,65685	13	0
312	436	315	422	0,00004	15,24260	15,24264	10	0
248	534	240	546	0,00001	15,31370	15,31371	9	0
671	676	677	687	-0,00002	13,48530	13,48528	7	0
304	5	316	9	-0,00005	13,65690	13,65685	11	0
156	672	162	685	-0,00002	15,48530	15,48528	7	0
413	199	417	185	-0,00005	15,65690	15,65685	9	0
721	138	717	150	-0,00005	13,65690	13,65685	6	0
740	716	744	729	-0,00005	14,65690	14,65685	7	0
532	502	523	512	0,00002	13,72790	13,72792	16	0
177	42	190	53	0,00005	17,55630	17,55635	7	0
601	750	616	744	-0,00002	17,48530	17,48528	11	0
33	735	16	737	0,00003	17,82840	17,82843	9	0
232	743	216	739	0,00004	18,24260	18,24264	7	0
77	609	67	597	0,00004	16,14210	16,14214	7	0
675	35	691	33	0,00003	16,82840	16,82843	9	0
488	51	476	66	-0,00004	19,97060	19,97056	8	0
23	656	28	640	-0,00003	18,07110	18,07107	8	0
421	581	415	565	-0,00002	18,48530	18,48528	9	0
433	441	419	455	-0,00001	19,79900	19,79899	21	0
6	94	18	112	-0,00004	22,97060	22,97056	8	0
199	656	179	662	-0,00002	22,48530	22,48528	12	0
366	32	349	19	-0,00002	22,38480	22,38478	18	0
232	40	230	19	0,00003	21,82840	21,82843	7	0
229	283	210	271	-0,00004	23,97060	23,97056	11	1
484	55	488	75	-0,00005	21,65690	21,65685	8	0
23	747	27	726	-0,00005	22,65690	22,65685	8	0
328	700	329	722	0,00001	22,41420	22,41421	6	0
379	319	382	341	0,00004	23,24260	23,24264	8	0
53	579	53	600	0,00000	21,00000	21,00000	6	0
603	717	621	737	0,00004	27,45580	27,45584	8	0
87	362	71	382	0,00002	26,62740	26,62742	7	0
748	416	749	442	0,00001	26,41420	26,41421	7	0
375	192	399	196	-0,00005	25,65690	25,65685	8	0
52	558	26	556	0,00003	26,82840	26,82843	8	0
526	206	520	225	-0,00005	24,65690	24,65685	21	0
757	485	731	488	0,00004	27,24260	27,24264	11	0
136	78	160	73	-0,00003	26,07110	26,07107	8	0
235	235	245	214	0,00004	25,14210	25,14214	11	0
430	185	447	168	0,00005	27,55630	27,55635	17	0
36	664	65	666	0,00003	29,82840	29,82843	7	0
428	460	455	456	-0,00005	28,65690	28,65685	8	0
298	325	327	318	-0,00001	31,89950	31,89949	7	0
5	54	32	46	0,00001	30,31370	30,31371	7	0
