type: sc1
name: Typhoon
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
306	314	310	315	0,00000	4,41421	4,41421	7	0
351	213	356	218	-0,00000	7,07107	7,07107	6	0
494	182	487	180	-0,00000	7,82843	7,82843	9	0
327	51	325	46	-0,00000	5,82843	5,82843	7	1
579	227	584	232	-0,00000	7,07107	7,07107	8	0
440	235	435	232	0,00000	6,24264	6,24264	12	0
338	55	344	52	0,00000	7,24264	7,24264	7	0
141	183	144	179	0,00000	5,24264	5,24264	11	0
382	190	381	196	0,00000	6,41421	6,41421	7	0
501	374	499	369	-0,00000	5,82843	5,82843	7	0
142	202	136	207	-0,00000	8,07107	8,07107	7	0
370	53	362	51	-0,00000	8,82843	8,82843	7	1
594	262	595	252	0,00001	10,41420	10,41421	7	0
704	168	711	164	0,00000	8,65685	8,65685	8	0
491	405	500	412	-0,00001	11,89950	11,89949	11	0
341	49	332	51	-0,00000	9,82843	9,82843	8	0
169	389	161	382	-0,00001	10,89950	10,89949	7	0
338	18	337	10	0,00000	8,41421	8,41421	5	1
527	428	536	423	-0,00003	11,07110	11,07107	8	1
153	206	157	198	0,00000	9,65685	9,65685	7	0
134	209	129	199	-0,00003	12,07110	12,07107	10	0
611	406	621	417	0,00004	15,14210	15,14214	9	0
218	429	223	439	-0,00003	12,07110	12,07107	7	0
456	43	457	29	0,00001	14,41420	14,41421	11	0
644	204	657	207	0,00004	14,24260	14,24264	7	0
719	216	711	207	0,00001	12,31370	12,31371	9	0
97	189	85	190	0,00001	12,41420	12,41421	7	0
461	363	453	372	0,00001	12,31370	12,31371	13	0
462	222	454	213	0,00001	12,31370	12,31371	12	0
564	251	555	243	0,00001	12,31370	12,31371	7	0
525	380	540	392	-0,00004	19,97060	19,97056	10	1
493	111	505	125	-0,00004	18,97060	18,97056	9	0
716	137	706	122	0,00004	19,14210	19,14214	12	0
124	175	134	160	0,00004	19,14210	19,14214	11	0
378	250	388	238	0,00004	16,14210	16,14214	9	0
623	205	614	189	0,00002	19,72790	19,72792	11	0
639	206	656	201	-0,00003	19,07110	19,07107	9	1
104	152	118	165	-0,00002	19,38480	19,38478	7	0
131	171	126	186	-0,00003	17,07110	17,07107	8	0
562	386	548	395	0,00002	17,72790	17,72792	15	1
275	296	257	282	-0,00001	23,79900	23,79899	16	0
173	197	172	218	0,00001	21,41420	21,41421	7	0
632	167	649	181	-0,00001	22,79900	22,79899	8	0
341	86	342	106	0,00001	20,41420	20,41421	7	1
430	354	435	374	-0,00003	22,07110	22,07107	7	0
163	94	169	113	-0,00002	21,48530	21,48528	14	0
230	311	223	291	-0,00001	22,89950	22,89949	12	0
553	353	566	369	-0,00002	21,38480	21,38478	7	1
252	170	271	163	-0,00001	21,89950	21,89949	7	0
112	179	130	189	0,00004	22,14210	22,14214	12	0
486	26	495	47	0,00002	24,72790	24,72792	13	0
708	215	696	236	-0,00004	25,97060	25,97056	20	0
429	247	414	229	0,00000	24,21320	24,21320	11	0
412	217	398	239	-0,00001	27,79900	27,79899	9	1
485	92	463	99	-0,00001	24,89950	24,89949	13	0
104	411	126	425	-0,00001	27,79900	27,79899	7	0
437	230	414	226	-0,00005	24,65690	24,65685	9	0
100	139	109	160	0,00002	24,72790	24,72792	9	1
330	77	309	88	0,00005	25,55630	25,55635	7	0
132	433	113	419	-0,00001	24,79900	24,79899	20	1
142	204	131	177	0,00005	31,55630	31,55635	16	0
423	44	449	55	0,00005	30,55630	30,55635	17	0
545	384	553	409	0,00001	28,31370	28,31371	6	0
122	404	123	376	0,00001	28,41420	28,41421	7	1
495	160	496	129	0,00001	31,41420	31,41421	7	0
362	56	375	31	-0,00002	30,38480	30,38478	15	0
382	360	411	362	0,00003	29,82840	29,82843	8	1
110	119	136	128	0,00002	29,72790	29,72792	12	0
567	384	550	407	0,00003	30,04160	30,04163	21	0
380	223	383	251	0,00004	29,24260	29,24264	7	0
108	129	138	134	-0,00003	32,07110	32,07107	9	1
423	375	394	364	0,00005	33,55630	33,55635	15	0
639	166	656	194	0,00003	35,04160	35,04163	9	0
56	190	86	201	0,00005	34,55630	34,55635	10	1
540	394	514	377	0,00003	33,04160	33,04163	19	0
263	317	261	285	0,00003	32,82840	32,82843	10	0
187	364	218	355	0,00002	34,72790	34,72792	9	1
421	326	437	298	0,00002	34,62740	34,62742	7	0
171	177	177	145	-0,00002	34,48530	34,48528	11	0
61	218	92	207	0,00005	35,55630	35,55635	11	0
208	175	180	154	-0,00002	36,69850	36,69848	21	1
700	122	665	112	0,00004	39,14210	39,14214	14	0
559	376	531	352	0,00003	37,94110	37,94113	18	0
265	267	285	297	-0,00003	38,28430	38,28427	10	0
179	355	148	370	0,00000	37,21320	37,21320	15	1
385	227	421	235	0,00001	39,31370	39,31371	7	0
83	392	116	404	-0,00004	37,97060	37,97056	16	0
122	357	94	383	0,00004	39,35530	39,35534	23	0
191	149	163	177	-0,00002	39,59800	39,59798	18	1
95	386	95	349	0,00000	37,00000	37,00000	7	0
589	396	627	385	0,00005	42,55630	42,55635	12	0
195	356	218	323	0,00001	42,52690	42,52691	15	0
648	222	640	182	0,00001	43,31370	43,31371	8	1
97	153	87	189	0,00004	40,14210	40,14214	12	0
707	247	727	214	-0,00003	41,28430	41,28427	36	0
86	218	98	180	-0,00004	42,97060	42,97056	10	0
121	441	94	410	-0,00003	42,18380	42,18377	28	1
658	227	699	229	-0,00002	43,48530	43,48528	22	0
212	147	248	166	-0,00004	43,87010	43,87006	11	0
553	356	559	397	-0,00002	43,48530	43,48528	7	0
462	38	501	51	-0,00002	44,38480	44,38478	32	0
482	31	439	43	-0,00004	47,97060	47,97056	40	1
529	407	574	411	-0,00005	46,65690	46,65685	8	0
161	386	119	381	-0,00003	44,07110	44,07107	11	0
371	95	339	64	0,00002	44,84060	44,84062	15	1
424	349	468	355	-0,00002	46,48530	46,48528	9	1
56	183	80	145	0,00003	47,94110	47,94113	17	0
693	190	703	231	0,00004	45,14210	45,14214	20	0
580	270	554	305	-0,00005	45,76960	45,76955	15	1
135	126	160	90	0,00001	47,52690	47,52691	73	0
120	437	102	394	0,00004	50,45580	50,45584	21	0
