type: sc1
name: ValleyofRe
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
472	42	479	41	0,00000	7,41421	7,41421	51	0
761	696	767	693	0,00000	7,24264	7,24264	52	0
678	66	678	73	0,00000	7,00000	7,00000	51	0
209	331	213	334	0,00000	5,24264	5,24264	36	0
446	206	443	201	0,00000	6,24264	6,24264	43	0
707	284	704	289	0,00000	6,24264	6,24264	43	0
516	187	520	187	0,00000	4,00000	4,00000	30	0
601	458	594	457	0,00000	7,41421	7,41421	51	0
236	737	238	741	-0,00000	4,82843	4,82843	33	0
741	547	738	544	0,00000	4,24264	4,24264	23	0
266	506	262	514	0,00000	9,65685	9,65685	71	0
29	35	34	43	-0,00003	10,07110	10,07107	78	0
735	546	741	555	-0,00002	11,48530	11,48528	97	0
152	603	152	613	0,00000	10,00000	10,00000	72	0
9	107	1	101	-0,00002	10,48530	10,48528	82	0
616	439	611	446	-0,00000	9,07107	9,07107	69	0
297	91	296	100	0,00000	9,41421	9,41421	65	0
534	744	526	737	-0,00002	11,48530	11,48528	91	0
656	735	659	743	0,00000	9,24264	9,24264	64	0
94	694	101	697	0,00000	8,24264	8,24264	65	0
553	175	542	179	-0,00005	12,65690	12,65685	118	1
485	58	476	70	0,00002	15,72790	15,72792	134	0
508	163	501	176	-0,00001	15,89950	15,89949	156	0
430	599	415	601	0,00003	15,82840	15,82843	141	0
765	600	764	586	0,00003	15,82840	15,82843	111	0
317	183	313	171	-0,00005	13,65690	13,65685	130	0
466	184	452	185	0,00001	14,41420	14,41421	100	0
286	481	298	475	-0,00002	14,48530	14,48528	135	0
656	7	666	0	-0,00001	12,89950	12,89949	107	0
734	598	748	597	0,00001	14,41420	14,41421	100	0
751	101	737	108	-0,00001	16,89950	16,89949	164	0
717	142	718	123	0,00001	19,41420	19,41421	135	0
648	95	648	113	0,00000	18,00000	18,00000	128	0
339	753	322	746	-0,00001	19,89950	19,89949	212	0
756	312	757	331	0,00001	19,41420	19,41421	135	0
620	128	634	134	-0,00002	16,48530	16,48528	161	1
714	734	701	723	0,00005	17,55630	17,55635	142	0
611	28	597	17	0,00005	18,55630	18,55635	164	0
661	451	663	469	0,00003	18,82840	18,82843	149	0
55	569	73	573	-0,00005	19,65690	19,65685	202	0
48	197	30	184	-0,00002	23,38480	23,38478	231	0
413	523	435	524	0,00001	22,41420	22,41421	156	0
109	610	124	625	0,00000	21,21320	21,21320	107	0
529	37	521	54	0,00001	20,31370	20,31371	230	0
562	453	544	465	-0,00004	22,97060	22,97056	238	0
47	587	70	587	0,00000	23,00000	23,00000	163	0
699	475	682	463	-0,00004	21,97060	21,97056	215	0
730	319	741	300	0,00005	23,55630	23,55635	265	0
43	659	32	643	0,00005	20,55630	20,55635	205	0
230	59	211	65	-0,00002	21,48530	21,48528	232	0
103	627	115	604	-0,00004	27,97060	27,97056	356	0
105	110	128	101	0,00002	26,72790	26,72792	255	0
636	119	617	134	0,00000	25,21320	25,21320	241	0
734	371	753	354	0,00000	27,21320	27,21320	262	1
619	636	618	661	0,00001	25,41420	25,41421	177	0
663	467	641	456	0,00005	26,55630	26,55635	251	0
549	192	536	173	-0,00002	24,38480	24,38478	259	0
658	106	642	124	0,00002	24,62740	24,62742	206	0
24	56	33	32	0,00002	27,72790	27,72792	344	0
55	350	41	328	-0,00001	27,79900	27,79899	330	0
714	49	693	67	0,00004	28,45580	28,45584	257	1
676	306	659	316	-0,00002	29,48530	29,48528	211	0
7	255	4	285	0,00004	31,24260	31,24264	283	0
624	725	596	734	0,00002	31,72790	31,72792	325	0
726	396	718	369	0,00001	30,31370	30,31371	262	0
539	195	534	224	-0,00003	31,07110	31,07107	343	0
752	151	753	123	0,00001	28,41420	28,41421	198	0
0	382	19	405	-0,00004	30,87010	30,87006	290	1
4	249	29	261	-0,00004	29,97060	29,97056	402	0
716	517	723	544	-0,00001	29,89950	29,89949	277	0
449	750	452	718	0,00004	33,24260	33,24264	346	0
537	208	544	241	-0,00001	35,89950	35,89949	451	0
97	331	83	302	-0,00001	34,79900	34,79899	486	1
43	676	74	682	-0,00002	33,48530	33,48528	349	0
694	58	663	52	-0,00002	33,48530	33,48528	421	0
517	69	485	63	-0,00002	34,48530	34,48528	418	1
737	713	749	742	-0,00004	33,97060	33,97056	472	0
707	691	733	694	0,00002	35,72790	35,72792	725	1
725	73	756	80	-0,00001	33,89950	33,89949	440	0
330	159	301	148	0,00005	33,55630	33,55635	407	0
133	134	157	104	0,00003	39,94110	39,94113	424	0
709	158	680	181	0,00001	38,52690	38,52691	423	1
605	93	633	67	-0,00005	38,76960	38,76955	297	0
79	487	50	504	0,00003	36,04160	36,04163	498	0
234	294	208	314	0,00002	36,62740	36,62742	338	0
653	440	675	467	-0,00000	36,11270	36,11270	374	0
734	540	717	508	0,00003	39,04160	39,04163	540	0
689	57	653	50	-0,00001	38,89950	38,89949	504	0
673	140	684	173	0,00005	37,55630	37,55635	546	1
630	676	614	646	0,00002	36,62740	36,62742	517	0
641	627	624	661	0,00003	41,04160	41,04163	613	0
725	324	762	338	-0,00001	42,79900	42,79899	670	1
582	13	563	46	-0,00004	40,87010	40,87006	567	0
726	143	758	121	-0,00000	41,11270	41,11270	539	1
30	666	25	628	-0,00003	40,07110	40,07107	393	0
599	691	610	655	0,00005	40,55630	40,55635	580	0
725	257	739	295	-0,00001	43,79900	43,79899	689	1
53	527	60	566	0,00002	42,72790	42,72792	475	0
596	692	555	699	-0,00001	43,89950	43,89949	565	1
689	167	719	138	-0,00001	42,01220	42,01219	212	0
675	612	632	609	0,00004	44,24260	44,24264	447	0
673	466	638	440	-0,00005	45,76960	45,76955	589	0
656	645	692	671	-0,00005	46,76960	46,76955	627	1
636	83	601	54	-0,00001	47,01220	47,01219	519	0
229	751	234	707	-0,00003	46,07110	46,07107	494	0
167	639	156	673	0,00002	45,62740	45,62742	492	1
719	96	723	52	-0,00005	45,65690	45,65685	466	0
542	33	502	20	-0,00002	45,38480	45,38478	719	1
117	136	78	116	-0,00003	47,28430	47,28427	624	0
75	312	33	324	-0,00004	46,97060	46,97056	746	1
530	44	579	40	-0,00005	50,65690	50,65685	573	0
763	412	719	425	-0,00002	49,38480	49,38478	755	1
685	34	647	1	0,00005	51,66900	51,66905	539	0
311	156	347	186	0,00001	48,42640	48,42641	529	0
4	359	25	316	-0,00002	51,69850	51,69848	907	1
7	281	32	243	0,00004	48,35530	48,35534	709	1
662	127	710	128	0,00001	48,41420	48,41421	338	0
510	746	502	700	0,00001	49,31370	49,31371	714	0
125	322	76	320	0,00003	49,82840	49,82843	450	1
603	114	617	71	-0,00001	48,79900	48,79899	804	0
