type: sc1
name: WaypointJunction
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
154	447	160	444	0,00000	7,24264	7,24264	45	0
202	18	198	15	0,00000	5,24264	5,24264	36	0
285	177	291	177	0,00000	6,00000	6,00000	44	0
385	298	381	295	0,00000	5,24264	5,24264	36	0
369	175	373	173	-0,00000	4,82843	4,82843	33	0
131	141	126	139	-0,00000	5,82843	5,82843	41	0
299	20	294	18	-0,00000	5,82843	5,82843	41	0
74	310	78	307	0,00000	5,24264	5,24264	36	0
497	351	493	357	0,00000	7,65685	7,65685	53	0
398	313	393	318	-0,00000	7,07107	7,07107	37	0
368	101	368	112	0,00000	11,00000	11,00000	79	0
358	194	366	189	-0,00003	10,07110	10,07107	78	0
370	191	360	195	-0,00005	11,65690	11,65685	103	0
81	131	78	123	0,00000	9,24264	9,24264	76	0
244	10	233	12	0,00003	11,82840	11,82843	96	0
258	90	258	80	0,00000	10,00000	10,00000	72	0
133	433	125	433	0,00000	8,00000	8,00000	58	0
446	166	439	175	-0,00001	11,89950	11,89949	96	0
431	360	430	352	0,00000	8,41421	8,41421	58	0
192	205	187	211	-0,00000	8,07107	8,07107	43	0
347	391	346	403	0,00001	12,41420	12,41421	86	0
157	280	158	266	0,00000	15,00000	15,00000	90	0
258	158	244	156	0,00003	14,82840	14,82843	126	0
160	135	163	147	0,00004	13,24260	13,24264	121	0
45	261	42	273	0,00004	13,24260	13,24264	114	0
450	298	442	309	0,00001	14,31370	14,31371	127	0
45	295	40	305	-0,00003	12,07110	12,07107	101	0
248	318	254	305	-0,00002	15,48530	15,48528	148	0
383	258	390	245	-0,00001	15,89950	15,89949	156	0
234	232	249	230	0,00003	15,82840	15,82843	141	0
361	123	348	110	-0,00002	18,38480	18,38478	93	0
98	286	92	303	-0,00002	19,48530	19,48528	204	0
426	403	426	386	0,00000	17,00000	17,00000	121	0
148	135	132	127	0,00001	19,31370	19,31371	211	0
421	301	427	284	-0,00002	19,48530	19,48528	217	0
398	351	390	365	0,00001	17,31370	17,31371	176	0
424	290	408	294	-0,00005	17,65690	17,65685	178	1
262	474	263	458	0,00001	16,41420	16,41421	114	0
215	152	197	152	0,00000	18,00000	18,00000	122	0
