type: sc1
name: WheelofWar
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
725	394	729	391	0,00000	5,24264	5,24264	36	0
208	231	209	238	0,00000	7,41421	7,41421	51	0
41	545	39	538	-0,00000	7,82843	7,82843	57	0
705	73	706	78	0,00000	5,41421	5,41421	37	0
605	641	609	639	-0,00000	4,82843	4,82843	33	0
67	175	70	179	0,00000	5,24264	5,24264	36	0
115	441	118	437	0,00000	5,24264	5,24264	36	0
703	536	704	541	0,00000	5,41421	5,41421	37	0
688	60	690	65	-0,00000	5,82843	5,82843	44	0
626	579	631	577	-0,00000	5,82843	5,82843	45	0
57	691	61	681	-0,00005	11,65690	11,65685	102	0
422	693	426	702	-0,00005	10,65690	10,65685	86	0
391	640	391	651	0,00000	11,00000	11,00000	73	0
240	168	232	165	0,00000	9,24264	9,24264	73	0
222	503	220	511	-0,00000	8,82843	8,82843	69	0
57	710	65	707	0,00000	9,24264	9,24264	76	0
480	663	481	673	0,00001	10,41420	10,41421	72	0
305	650	313	655	-0,00003	10,07110	10,07107	78	0
535	129	525	132	0,00004	11,24260	11,24264	99	0
556	518	551	524	-0,00000	8,07107	8,07107	44	0
734	507	739	494	-0,00003	15,07110	15,07107	122	0
751	617	764	611	-0,00002	15,48530	15,48528	148	0
708	683	712	670	-0,00005	14,65690	14,65685	136	0
727	228	715	219	0,00002	15,72790	15,72792	134	0
559	727	570	716	0,00005	15,55630	15,55635	79	0
745	273	758	274	0,00001	13,41420	13,41421	93	0
704	499	718	503	-0,00005	15,65690	15,65685	159	0
268	580	270	568	0,00003	12,82840	12,82843	108	0
86	537	81	548	-0,00003	13,07110	13,07107	113	0
25	460	39	463	0,00004	15,24260	15,24264	143	0
439	763	423	758	-0,00003	18,07110	18,07107	136	0
230	555	249	553	0,00003	19,82840	19,82843	164	0
417	12	405	2	0,00004	16,14210	16,14214	130	0
98	71	86	60	0,00005	16,55630	16,55635	115	0
73	314	72	331	0,00001	17,41420	17,41421	121	0
384	659	393	674	0,00002	18,72790	18,72792	191	0
537	634	523	640	-0,00002	16,48530	16,48528	161	1
360	596	375	607	0,00005	19,55630	19,55635	187	0
437	547	452	544	0,00004	16,24260	16,24264	159	0
240	561	239	543	0,00001	18,41420	18,41421	128	0
144	390	153	370	0,00002	23,72790	23,72792	270	0
410	574	429	581	-0,00001	21,89950	21,89949	240	0
273	126	282	144	0,00002	21,72790	21,72792	241	0
736	482	727	463	0,00002	22,72790	22,72792	255	0
398	10	388	26	0,00004	20,14210	20,14214	212	0
704	196	723	192	-0,00005	20,65690	20,65685	183	1
637	413	619	399	-0,00001	23,79900	23,79899	226	0
276	698	254	700	0,00003	22,82840	22,82843	203	0
198	720	218	711	0,00002	23,72790	23,72792	279	0
177	265	168	282	0,00002	20,72790	20,72792	210	0
604	528	580	531	0,00004	25,24260	25,24264	255	0
19	505	1	487	0,00004	25,45580	25,45584	128	0
368	8	382	30	-0,00001	27,79900	27,79899	329	0
588	67	611	79	-0,00004	27,97060	27,97056	356	1
391	556	403	576	-0,00004	24,97060	24,97056	293	0
293	670	267	673	0,00004	27,24260	27,24264	277	0
208	544	228	557	-0,00002	25,38480	25,38478	288	0
735	690	755	699	0,00001	24,31370	24,31371	228	0
570	432	546	431	0,00001	24,41420	24,41421	170	0
552	16	571	29	-0,00002	24,38480	24,38478	255	0
446	575	449	602	0,00004	28,24260	28,24264	283	1
565	374	592	362	-0,00004	31,97060	31,97056	244	0
630	614	626	584	-0,00005	31,65690	31,65685	357	0
621	505	598	520	0,00000	29,21320	29,21320	355	0
512	549	507	521	-0,00003	30,07110	30,07107	340	0
430	13	401	16	0,00004	30,24260	30,24264	309	0
610	302	585	286	0,00002	31,62740	31,62742	391	1
73	677	104	675	0,00003	31,82840	31,82843	271	0
158	196	170	222	-0,00004	30,97060	30,97056	419	0
295	118	320	110	0,00001	28,31370	28,31371	361	0
578	522	587	492	0,00002	33,72790	33,72792	455	1
222	488	239	513	0,00003	32,04160	32,04163	393	0
173	710	153	735	-0,00003	33,28430	33,28427	347	0
593	522	565	533	0,00005	32,55630	32,55635	442	0
143	699	144	734	0,00001	35,41420	35,41421	247	0
683	689	712	678	0,00005	33,55630	33,55635	456	1
